% Model,LargeGraphiteBlock_v5_PorousMedia_rad_longblock_charge.mph
% Version,COMSOL 6.0.0.405
% Date,"Jan 19 2024, 21:27"
% Table,Accumulated Probe Table 2 - 
% charge_hrs (h),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1"
4,4320,2672.999999999995,2224.314584149411,2317.058207713275,2672.9999999999895,2224.3007425060955,2673.0000000000005,2224.2868932250067
4,4464,2672.999999999995,2226.8842559719183,2321.552889205907,2672.9999999999895,2226.870180083946,2673.0000000000005,2226.8560695502697
4,4608,2672.999999999995,2229.5089778750016,2326.0278914244104,2672.9999999999895,2229.494638778655,2673.0000000000005,2229.4802200994436
4,4752,2672.999999999995,2232.1810434611807,2330.4715382992326,2672.9999999999895,2232.166463282995,2673.0000000000005,2232.1517954740184
4,4896,2672.999999999995,2234.901221218817,2334.8879377416742,2672.9999999999895,2234.8863876494343,2673.0000000000005,2234.871492005725
4,5040,2672.999999999995,2237.673614090471,2339.2862253063595,2672.9999999999895,2237.65842740479,2673.0000000000005,2237.6432378720633
4,5184,2672.999999999995,2240.4895392024305,2343.6508121778475,2672.9999999999895,2240.474223156339,2673.0000000000005,2240.4588268582042
4,5328,2672.999999999995,2243.3494563933964,2347.9862916065167,2672.9999999999895,2243.3340419188607,2673.0000000000005,2243.3184508421145
4,5472,2672.999999999995,2246.257535004342,2352.303313485912,2672.9999999999895,2246.2418794336545,2673.0000000000005,2246.226016740292
4,5616,2672.999999999995,2249.205749170984,2356.581917310399,2672.9999999999895,2249.1897516868853,2673.0000000000005,2249.1736315069716
4,5760,2672.999999999995,2252.1932260388517,2360.8286270480653,2672.9999999999895,2252.176897485381,2673.0000000000005,2252.160555063346
4,5904,2672.999999999995,2255.2249164998375,2365.056910814091,2672.9999999999895,2255.208451758543,2673.0000000000005,2255.1919228224447
4,6048,2672.999999999995,2258.2921585952595,2369.2422366803253,2672.9999999999895,2258.2756878792634,2673.0000000000005,2258.259028565411
4,6192,2672.999999999995,2261.3929196990393,2373.3945128573455,2672.9999999999895,2261.376366051956,2673.0000000000005,2261.35955007116
4,6336,2672.999999999995,2264.535060915829,2377.5304679660107,2672.9999999999895,2264.518164329865,2673.0000000000005,2264.501066280041
4,6480,2672.999999999995,2267.7073650093566,2381.6196713526188,2672.9999999999895,2267.690036029608,2673.0000000000005,2267.672666048099
4,6624,2672.999999999995,2270.90922485011,2385.676270184694,2672.9999999999895,2270.8917335014585,2673.0000000000005,2270.874217846399
4,6768,2672.999999999995,2274.138745661174,2389.7098974445576,2672.9999999999895,2274.1212029711264,2673.0000000000005,2274.1035761240246
4,6912,2672.999999999995,2277.4014774390903,2393.700984494574,2672.9999999999895,2277.3838097085163,2673.0000000000005,2277.36601120746
4,7056,2672.999999999995,2280.6970216692994,2397.664194942678,2672.9999999999895,2280.679146423107,2673.0000000000005,2280.6611533779587
4,7200,2672.999999999995,2284.020198870152,2401.5977369193397,2672.9999999999895,2284.0020734608615,2673.0000000000005,2283.983918060956
4,7344,2672.999999999995,2287.361189000694,2405.486061006527,2672.9999999999895,2287.343075768556,2673.0000000000005,2287.3249081835424
4,7488,2672.999999999995,2290.7273092916507,2409.3513146052787,2672.9999999999895,2290.7092232064197,2673.0000000000005,2290.691007196825
4,7632,2672.999999999995,2294.1233723994605,2413.188909321436,2672.9999999999895,2294.10517579027,2673.0000000000005,2294.086777052012
4,7776,2672.999999999995,2297.5384222024813,2416.9794159864205,2672.9999999999895,2297.5200476835494,2673.0000000000005,2297.5014915192214
4,7920,2672.999999999995,2300.967722013155,2420.74829365536,2672.9999999999895,2300.949082427479,2673.0000000000005,2300.9303907382246
