% Model,LargeGraphiteBlockCharge_v3_mdotbnd_charge_allhours.mph
% Version,COMSOL 6.0.0.405
% Date,"Sep 28 2023, 13:58"
% Table,Probe Table 1 - 
% Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate"
5336.472699190651,2672.9999999999995,2647.5542582894122,2579.0585897382703,2660.5828449373726,2544.6565996164245,4.895396221031691
5516.472699190651,2672.9999999999995,2648.9266330565583,2584.168519128169,2661.284255510389,2550.954175581056,4.895396221031687
5696.472699190651,2672.9999999999995,2650.226894938209,2589.0004754521465,2661.9457480456836,2556.9499012751,4.895396221031684
5876.472699190651,2672.9999999999995,2651.4625531918678,2593.572805055803,2662.570893806729,2562.661420262702,4.895396221031691
6056.472699190651,2672.9999999999995,2652.628363957257,2597.8962119922135,2663.159476956347,2568.0978873929266,4.895396221031695
6236.472699190651,2672.9999999999995,2653.731425520073,2601.9872608948576,2663.715633989626,2573.2752075132953,4.895396221031695
6416.472699190651,2672.9999999999995,2654.775571993401,2605.8572053156513,2664.240566001366,2578.2040502451778,4.895396221031695
6596.472699190651,2672.9999999999995,2655.7535702220075,2609.4798739746557,2664.7306317926336,2582.8524402164117,4.8953962210316995
6776.472699190651,2672.9999999999995,2656.6774259754743,2612.9001321217584,2665.192153392031,2587.269432940716,4.895396221031701
6956.472699190651,2672.9999999999995,2657.5515910934328,2616.135479904244,2665.6277057204593,2591.473298876687,4.895396221031703
7136.472699190651,2672.9999999999995,2658.3791440675022,2619.197202935888,2666.0389873357285,2595.4755000159485,4.895396221031695
7316.472699190651,2672.9999999999995,2659.1625189593865,2622.0948401178143,2666.4274084324024,2599.285719812766,4.895396221031687
7496.472699190651,2672.9999999999995,2659.9039873343995,2624.8371692256737,2666.7942188942666,2602.9129375528864,4.895396221031693
7676.472699190651,2672.9999999999995,2660.5983519136457,2627.4030694517323,2667.136504317229,2606.3307949732257,4.895396221031706
7856.472699190651,2672.9999999999995,2661.2619084253547,2629.854563907567,2667.462928763331,2609.6115306724864,4.895396221031691
8036.472699190651,2672.9999999999995,2661.8912435545603,2632.1794646369303,2667.7718597717444,2612.7397665180833,4.895396221031687
8216.47269919065,2672.9999999999995,2662.487289310325,2634.3806527302204,2668.0637400557553,2615.718075533352,4.895396221031687
8396.47269919065,2672.9999999999995,2663.051674285596,2636.4639153599433,2668.339389546189,2618.5525365000804,4.895396221031691
8576.47269919065,2672.9999999999995,2663.5859399219453,2638.435379193919,2668.5996776936363,2621.249709648411,4.895396221031691
8756.47269919065,2672.9999999999995,2664.0916573061245,2640.300973786515,2668.8454630432625,2623.816017841835,4.895396221031693
8936.47269919065,2672.9999999999995,2664.570388321726,2642.066345952454,2669.077556991224,2626.257632811773,4.895396221031707
9116.47269919065,2672.9999999999995,2665.0234719673185,2643.736856299593,2669.2967068155017,2628.5804532403217,4.895396221031707
9296.47269919065,2672.9999999999995,2665.452336160852,2645.3175761528523,2669.5036397058893,2630.790105327449,4.895396221031695
9476.47269919065,2672.9999999999995,2665.858384216985,2646.8133013624356,2669.699045259407,2632.891959730982,4.895396221031695
9656.47269919065,2672.9999999999995,2666.242674664987,2648.228579358859,2669.883557734489,2634.8911448886115,4.895396221031695
9836.47269919065,2672.9999999999995,2666.6062978671234,2649.5677177074604,2670.0577738655106,2636.7925512338848,4.895396221031703
10016.47269919065,2672.9999999999995,2666.950514748287,2650.8347906617696,2670.2222720906307,2638.6008414559515,4.8953962210316995
10196.47269919065,2672.9999999999995,2667.2763561840843,2652.033656798532,2670.3775998401834,2640.320466650258,4.8953962210316995
10376.47269919065,2672.9999999999995,2667.584712559597,2653.167969548267,2670.524261682137,2641.9556735376527,4.8953962210316915
