% Model,tin_tegs_model_2_HF.mph
% Version,COMSOL 6.1.0.357
% Date,"May 31 2024, 18:43"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (K),Temperature (K)
268,1051.6791961938575,1032.7095927425812
269,1051.6143631692814,1032.6414534257297
270,1051.549530144705,1032.5733141088785
271,1051.4846971201287,1032.505174792027
272,1051.4198640955522,1032.4370354751752
273,1051.3550310709759,1032.3688961583243
274,1051.2901980463994,1032.3007568414728
275,1051.2253650218224,1032.2326175246214
276,1051.1605319972466,1032.1644782077706
277,1051.0956989726697,1032.0963388909197
278,1051.0308659480938,1032.0281995740675
279,1050.966032923517,1031.9600602572168
280,1050.901199898941,1031.891920940365
281,1050.8363668743643,1031.8237816235135
282,1050.771533849788,1031.7556423066624
283,1050.7067008252118,1031.6875029898097
284,1050.641867800635,1031.6193636729597
285,1050.5770347760595,1031.5512243561082
286,1050.512201751483,1031.4830850392564
287,1050.4473687269056,1031.4149457224055
288,1050.3825357023295,1031.3468064055535
289,1050.317702677754,1031.2786670887024
290,1050.252869653177,1031.210527771851
291,1050.1880366286011,1031.1423884550002
292,1050.1232036040244,1031.0742491381484
293,1050.0583705794484,1031.006109821297
294,1049.9935375548707,1030.9379705044462
295,1049.9287045302956,1030.8698311875944
296,1049.8638715057193,1030.8016918707435
297,1049.7990384811421,1030.7335525538917
298,1049.7342054565668,1030.6654132370413
299,1049.6693724319896,1030.5972739201898
300,1049.6045394074133,1030.5291346033373
301,1049.5397063828368,1030.4609952864869
302,1049.474873358261,1030.392855969635
303,1049.4100403336838,1030.3247166527838
304,1049.3452073091075,1030.2565773359324
305,1049.280374284531,1030.1884380190813
306,1049.2155412599554,1030.1202987022298
307,1049.1507082353787,1030.052159385378
308,1049.085875210803,1029.9840200685267
309,1049.0210421862262,1029.915880751675
310,1048.9562091616494,1029.847741434825
311,1048.8913761370738,1029.7796021179727
312,1048.8265431124967,1029.711462801122
313,1048.7617100879204,1029.6433234842705
314,1048.696877063344,1029.5751841674191
315,1048.6320440387674,1029.5070448505678
316,1048.5672110141913,1029.438905533716
317,1048.502377989615,1029.3707662168645
318,1048.4375449650388,1029.3026269000136
319,1048.3727119404616,1029.2344875831625
320,1048.307878915886,1029.166348266311
321,1048.2430458913093,1029.0982089494594
322,1048.1782128667335,1029.0300696326092
323,1048.1133798421574,1028.9619303157567
324,1048.0485468175802,1028.8937909989058
325,1047.9837137930037,1028.8256516820545
326,1047.918880768428,1028.7575123652034
327,1047.8540477438514,1028.6893730483519
328,1047.7892147192752,1028.6212337314998
329,1047.7243816946989,1028.553094414649
330,1047.659548670122,1028.4849550977967
331,1047.5947156455456,1028.4168157809456
332,1047.5298826209696,1028.3486764640948
333,1047.465049596393,1028.2805371472436
334,1047.4002165718168,1028.2123978303923
335,1047.3353835472399,1028.1442585135408
336,1047.2705505226643,1028.0761191966894
337,1047.2057174980878,1028.0079798798386
338,1047.1408844735108,1027.9398405629865
339,1047.0760514489348,1027.8717012461348
340,1047.0112184243585,1027.803561929285
341,1046.9463853997818,1027.7354226124328
342,1046.881552375206,1027.6672832955817
343,1046.8167193506292,1027.5991439787297
344,1046.7518863260527,1027.5310046618793
345,1046.6870533014765,1027.462865345028
346,1046.6222202769004,1027.394726028176
347,1046.557387252323,1027.3265867113246
348,1046.4925542277465,1027.2584473944735
349,1046.4277212031711,1027.1903080776215
350,1046.3628881785946,1027.122168760771
351,1046.2980551540181,1027.0540294439193
352,1046.233222129442,1026.9858901270677
353,1046.1683891048654,1026.917750810216
354,1046.1035560802893,1026.8496114933648
355,1046.0387230557124,1026.7814721765142
356,1045.973890031136,1026.713332859663
357,1045.9090570065594,1026.645193542812
358,1045.8442239819838,1026.577054225959
359,1045.7793909574073,1026.5089149091084
360,1045.71455793283,1026.4407755922573
361,1045.6497249082545,1026.372636275406
362,1045.584891883678,1026.3044969585544
363,1045.5200588591017,1026.2363576417033
364,1045.4552258345257,1026.1682183248518
365,1045.390392809949,1026.100079008
366,1045.3255597853727,1026.0319396911484
367,1045.2607267607962,1025.963800374298
368,1045.1958937362194,1025.8956610574462
369,1045.1310607116432,1025.8275217405949
370,1045.0662276870662,1025.7593824237433
371,1045.0013946624904,1025.691243106893
372,1044.9365616379139,1025.6231037900411
373,1044.8717286133376,1025.5549644731896
374,1044.806895588761,1025.4868251563382
375,1044.7420625641848,1025.4186858394864
376,1044.6772295396088,1025.3505465226353
377,1044.6123965150325,1025.2824072057833
378,1044.5475634904562,1025.214267888933
379,1044.4827304658795,1025.1461285720814
380,1044.417897441303,1025.0779892552298
381,1044.3530644167263,1025.009849938379
382,1044.2882313921498,1024.9417106215283
383,1044.2233983675737,1024.8735713046765
384,1044.1585653429972,1024.8054319878245
385,1044.0889954214854,1024.7285780623117
386,1044.0194254999733,1024.6517241367997
387,1043.9498555784608,1024.5748702112867
388,1043.8802856569487,1024.498016285774
389,1043.810715735436,1024.4211623602607
390,1043.7411458139238,1024.3443084347487
391,1043.671575892411,1024.267454509236
392,1043.6020059708987,1024.1906005837234
393,1043.5324360493864,1024.1137466582104
394,1043.4628661278748,1024.0368927326983
395,1043.3932962063618,1023.9600388071856
396,1043.323726284849,1023.8831848816724
397,1043.254156363337,1023.8063309561603
398,1043.1845864418246,1023.7294770306474
399,1043.1150165203126,1023.6526231051342
400,1043.0454465987996,1023.575769179622
401,1042.975876677288,1023.4989152541087
402,1042.9063067557752,1023.4220613285969
403,1042.8367368342633,1023.3452074030839
404,1042.7671669127506,1023.2683534775712
405,1042.6975969912378,1023.1914995520586
406,1042.6280270697255,1023.114645626546
407,1042.5584571482136,1023.0377917010327
408,1042.4888872267009,1022.9609377755208
409,1042.419317305188,1022.8840838500081
410,1042.3497473836762,1022.8072299244949
411,1042.280177462164,1022.7303759989823
412,1042.2106075406514,1022.6535220734696
413,1042.141037619139,1022.5766681479568
414,1042.071467697627,1022.4998142224441
415,1042.0018977761144,1022.4229602969317
416,1041.9323278546021,1022.3461063714186
417,1041.8627579330898,1022.2692524459062
418,1041.7931880115777,1022.1923985203938
419,1041.7236180900657,1022.1155445948807
420,1041.6540481685527,1022.0386906693685
421,1041.5844782470406,1021.9618367438554
422,1041.5149083255283,1021.884982818343
423,1041.4453384040157,1021.8081288928306
424,1041.3757684825032,1021.7312749673184
425,1041.306198560991,1021.6544210418049
426,1041.236628639479,1021.5775671162925
427,1041.1670587179665,1021.5007131907795
428,1041.097488796454,1021.423859265267
429,1041.0279188749416,1021.3470053397541
430,1040.9583489534295,1021.2701514142408
431,1040.8887790319172,1021.1932974887288
432,1040.819209110404,1021.1164435632165
433,1040.7496391888926,1021.0395896377031
434,1040.6800692673798,1020.9627357121906
435,1040.6104993458678,1020.8858817866776
436,1040.5409294243555,1020.8090278611654
437,1040.471359502843,1020.7321739356528
438,1040.4017895813301,1020.6553200101403
439,1040.3322196598183,1020.5784660846266
440,1040.2626497383058,1020.5016121591149
441,1040.1930798167934,1020.4247582336018
442,1040.123509895281,1020.3479043080893
443,1040.053939973769,1020.2710503825768
444,1039.9843700522565,1020.1941964570642
445,1039.9148001307437,1020.1173425315518
446,1039.845230209232,1020.0404886060387
447,1039.7756602877193,1019.9636346805261
448,1039.7060903662068,1019.8867807550134
449,1039.6365204446945,1019.8099268295
450,1039.566950523182,1019.7330729039879
451,1039.49738060167,1019.6562189784753
452,1039.4278106801578,1019.5793650529629
453,1039.3582407586453,1019.5025111274495
454,1039.2886708371325,1019.4256572019376
455,1039.2191009156206,1019.3488032764247
456,1039.149530994108,1019.2719493509121
457,1039.079961072596,1019.1950954253988
458,1039.0103911510837,1019.1182414998866
459,1038.9408212295714,1019.0413875743737
460,1038.8712513080588,1018.9645336488609
461,1038.8016813865468,1018.8876797233485
462,1038.7321114650344,1018.8108257978357
463,1038.6625415435217,1018.733971872323
464,1038.5929716220094,1018.6571179468111
465,1038.5234017004973,1018.5802640212979
466,1038.4538317789847,1018.5034100957854
467,1038.384261857472,1018.4265561702726
468,1038.3146919359606,1018.34970224476
469,1038.2451220144474,1018.272848319247
470,1038.1755520929348,1018.1959943937343
471,1038.1059821714227,1018.1191404682214
472,1038.0364122499107,1018.042286542709
473,1037.9668423283983,1017.9654326171961
474,1037.897272406886,1017.8885786916837
475,1037.8277024853733,1017.8117247661708
476,1037.7581325638607,1017.7348708406578
477,1037.688562642349,1017.6580169151454
478,1037.6189927208363,1017.5811629896333
479,1037.5494227993245,1017.5043090641204
480,1037.4798528778122,1017.4274551386078
481,1037.4102829562992,1017.3506012130954
482,1037.3407130347875,1017.2737472875824
483,1037.2711431132743,1017.1968933620697
484,1037.2015731917627,1017.1200394365565
485,1037.1320032702495,1017.0431855110434
486,1037.0624333487376,1016.966331585532
487,1036.9928634272253,1016.8894776600189
488,1036.9232935057125,1016.8126237345065
489,1036.8537235842005,1016.7357698089936
490,1036.7841536626886,1016.6589158834807
491,1036.7145837411758,1016.5820619579671
492,1036.6450138196633,1016.5052080324555
493,1036.5754438981517,1016.4283541069423
494,1036.5058739766391,1016.3515001814304
495,1036.4363040551264,1016.2746462559178
496,1036.3667341336136,1016.1977923304045
497,1036.2971642121013,1016.1209384048922
498,1036.2275942905899,1016.0440844793791
499,1036.1580243690769,1015.9672305538668
500,1036.0884544475648,1015.8903766283534
501,1036.0188845260523,1015.8135227028407
502,1035.94931460454,1015.7366687773278
503,1035.8797446830283,1015.6598148518151
504,1035.8101747615153,1015.5829609263036
505,1035.7406048400028,1015.506107000791
506,1035.6710349184902,1015.4292530752778
507,1035.601464996978,1015.3523991497651
508,1035.5318950754659,1015.2755452242528
509,1035.4623251539535,1015.1986912987402
510,1035.3927552324415,1015.1218373732274
511,1035.3231853109294,1015.0449834477143
512,1035.253615389416,1014.9681295222011
513,1035.184045467904,1014.8912755966898
514,1035.1144755463915,1014.8144216711769
515,1035.0449056248788,1014.7375677456637
516,1034.9753357033671,1014.6607138201508
517,1034.9057657818544,1014.5838598946382
518,1034.8361958603423,1014.5070059691255
519,1034.76662593883,1014.4301520436131
520,1034.6970560173177,1014.3532981181005
