% Model,LargeGraphiteBlockCharge_v3_Tinbnd_charge_skeleton.mph
% Version,COMSOL 6.0.0.405
% Date,"Sep 26 2022, 17:21"
% Table,Accumulated Probe Table 24 - 
% hours (h),init_T_add,max_T_add,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate","State variable TimeInt (J), Domain Probe 7",Global Variable Probe 1
5,100,100,540,2772.815404183321,2173.1104818793065,2191.3195473963333,2280.7483036789463,2173.016408102139,0.24476981105158527,1.904385630289521E7,5.2873004359916234E8
5,100,100,720,2772.999006368967,2174.5143580563686,2197.5415900980083,2289.109457522672,2173.05633491628,0.24476981105158518,2.537261659587023E7,5.2873004359916234E8
5,100,100,900,2773.0022486820376,2175.3410961100594,2203.75925795671,2296.462251073272,2173.1296108025986,0.24476981105158543,3.1692660424152482E7,5.2873004359916234E8
5,100,100,1080,2773.0000006065757,2176.23358413054,2209.9697663573534,2303.217684232526,2173.2430269293304,0.2447698110515852,3.8003227061997734E7,5.2873004359916234E8
5,100,100,1260,2773.0000147996193,2177.193006178376,2216.1726246221087,2309.6685888796105,2173.394351889988,0.24476981105158588,4.430498932929897E7,5.2873004359916234E8
5,100,100,1440,2773.0001115370114,2178.2034202608634,2222.3680240369586,2315.9396109641025,2173.5805113404335,0.24476981105158532,5.059873495041632E7,5.2873004359916234E8
5,100,100,1620,2773.0000017170896,2179.274507443997,2228.5537824119483,2322.080641267178,2173.809347429463,0.24476981105158502,5.688225750723029E7,5.2873004359916234E8
5,100,100,1800,2772.999987413594,2180.4165767361637,2234.7283098379835,2328.132606079608,2174.0856959228045,0.24476981105158493,6.3154320562250294E7,5.2873004359916234E8
5,100,100,1980,2773.000002745061,2181.6360685375776,2240.8905042871734,2334.1279218353493,2174.4119935427116,0.24476981105158535,6.941396678618737E7,5.2873004359916234E8
5,100,100,2160,2773.0000019084587,2182.938182856942,2247.0394216356153,2340.083431184428,2174.790030113184,0.24476981105158513,7.566029451083605E7,5.2873004359916234E8
5,100,100,2340,2772.999999396152,2184.327054492512,2253.1741530874456,2346.005834442316,2175.221548009195,0.24476981105158527,8.18923915690781E7,5.2873004359916234E8
5,100,100,2520,2772.999999808326,2185.8055294473515,2259.2937821423934,2351.8975068237055,2175.70841004532,0.24476981105158496,8.810932225372459E7,5.2873004359916234E8
5,100,100,2700,2773.0000001257995,2187.3753585721297,2265.3973774083797,2357.7590730388843,2176.2525999315667,0.2447698110515854,9.431013063422723E7,5.2873004359916234E8
5,100,100,2880,2773.0000000139426,2189.0375780843174,2271.483996174421,2363.590187875456,2176.8561651012037,0.2447698110515845,1.0049384672599006E8,5.2873004359916234E8
5,100,100,3060,2772.99999997891,2190.7927931018385,2277.552689217683,2369.3897332577117,2177.5211533246425,0.24476981105158496,1.0665949160062008E8,5.2873004359916234E8
5,100,100,3240,2773.000000000828,2192.641295183264,2283.6025053056665,2375.1558154314334,2178.249563413226,0.24476981105158513,1.128060812973871E8,5.2873004359916234E8
5,100,100,3420,2773.000000003066,2194.5831378221883,2289.632511302811,2380.8867403641116,2179.0432719924333,0.2447698110515856,1.1893262743784307E8,5.2873004359916234E8
5,100,100,3600,2772.9999999982456,2196.6182444220613,2295.641892418157,2386.5818719902118,2179.903823767878,0.2447698110515852,1.2503812882185918E8,5.2873004359916234E8
5,100,100,3780,2772.9999999972742,2198.746440105972,2301.629614592661,2392.2407228245133,2180.8331025083908,0.24476981105158496,1.3112161406705938E8,5.2873004359916234E8
5,100,100,3960,2773.0000000000305,2200.9674022110535,2307.5946527523715,2397.8631450047674,2181.8328528975626,0.2447698110515851,1.3718210326099735E8,5.2873004359916234E8
5,100,100,4140,2773.0000000013024,2203.280684820912,2313.5360231988084,2403.4485153617134,2182.904621171003,0.24476981105158518,1.432186191228397E8,5.2873004359916234E8
5,100,100,4320,2773.0000000002187,2205.6857245932306,2319.452772845351,2408.9955428472163,2184.049786617962,0.24476981105158502,1.4923018906410027E8,5.2873004359916234E8
5,100,100,4500,2772.999999999355,2208.181823188944,2325.3439655884645,2414.50222860522,2185.269595403444,0.24476981105158488,1.5521584697888073E8,5.2873004359916234E8
5,100,100,4680,2772.999999999743,2210.768099027337,2331.2086717747466,2419.96699139893,2186.5651756757916,0.24476981105158527,1.611746351388657E8,5.2873004359916234E8
5,100,100,4860,2773.0000000002765,2213.443481212624,2337.0459655763775,2425.389268776323,2187.937540003385,0.24476981105158496,1.671056061589992E8,5.2873004359916234E8
5,100,100,5040,2773.000000000191,2216.2070071245225,2342.8549256976203,2430.7694890472662,2189.3875838725507,0.24476981105158474,1.7300782285194305E8,5.2873004359916234E8
5,100,100,5220,2772.9999999998968,2219.0577357329003,2348.6346405649215,2436.108031192432,2190.916085498041,0.2447698110515845,1.7888035806327513E8,5.2873004359916234E8
5,100,100,5400,2772.9999999998786,2221.994465651606,2354.3842147299165,2441.404251499131,2192.523707166709,0.24476981105158482,1.8472229648633707E8,5.2873004359916234E8
5,100,100,5580,2773.0000000000273,2225.015617170857,2360.102772123809,2446.656220809548,2194.2109971682476,0.24476981105158532,1.9053273792511362E8,5.2873004359916234E8
5,100,100,5760,2773.0000000000687,2228.11951601155,2365.7894535623223,2451.86184672526,2195.978391045932,0.2447698110515848,1.9631079899690515E8,5.2873004359916234E8
5,100,100,5940,2773.0000000000005,2231.3048615758285,2371.4434079446223,2457.0205639002384,2197.8262103122865,0.24476981105158455,2.0205561102692983E8,5.2873004359916234E8
5,100,100,6120,2772.9999999999645,2234.5704794723183,2377.0637923041563,2462.1330453305477,2199.75465959342,0.2447698110515856,2.0776631853231287E8,5.2873004359916234E8
5,100,100,6300,2772.9999999999927,2237.9145905385,2382.6497811935437,2467.1997882547853,2201.763828833765,0.2447698110515858,2.1344208306206924E8,5.2873004359916234E8
5,100,100,6480,2773.0000000000173,2241.3350925695618,2388.200572185,2472.2202886902874,2203.8537017985122,0.24476981105158482,2.19082086655958E8,5.2873004359916234E8
5,100,100,6660,2773.000000000008,2244.8302175611097,2393.7153873852103,2477.1926334228156,2206.0241640756567,0.24476981105158455,2.2468553056660664E8,5.2873004359916234E8
5,100,100,6840,2772.9999999999936,2248.3983147201566,2399.193443624963,2482.1155285897003,2208.2749961004847,0.24476981105158518,2.3025163589282033E8,5.2873004359916234E8
5,100,100,7020,2772.9999999999995,2252.0372258687457,2404.633860322191,2486.9891933828335,2210.6058281620826,0.24476981105158496,2.357796547165473E8,5.2873004359916234E8
5,100,100,7200,2773.0000000000005,2255.7450317458784,2410.0360326766267,2491.8145021743426,2213.016249195306,0.2447698110515851,2.412688360736619E8,5.2873004359916234E8
5,100,100,7380,2773,2259.519935968166,2415.3993759360474,2496.5908174653314,2215.5057943286843,0.24476981105158552,2.467184489343517E8,5.2873004359916234E8
5,100,100,7560,2773,2263.3595168312377,2420.723046397334,2501.316275107323,2218.0737261464146,0.24476981105158552,2.5212781771991375E8,5.2873004359916234E8
5,100,100,7740,2773,2267.2621644385567,2426.0064492546744,2505.9903742050583,2220.7193994257564,0.24476981105158493,2.5749625645982236E8,5.2873004359916234E8
5,100,100,7920,2773,2271.2259802271474,2431.2490305162655,2510.614402115362,2223.442142165306,0.24476981105158463,2.6282309833902293E8,5.2873004359916234E8
5,100,100,8100,2773,2275.248140399399,2436.4500076225377,2515.188781891009,2226.24090956447,0.24476981105158527,2.6810773172538966E8,5.2873004359916234E8
5,100,100,8280,2773,2279.3265449475607,2441.608841119559,2519.7120897067066,2229.114798466842,0.24476981105158513,2.7334954292115927E8,5.2873004359916234E8
5,100,100,8460,2773,2283.459024041127,2446.724992451455,2524.1831879830625,2232.062811523831,0.24476981105158513,2.7854794580124825E8,5.2873004359916234E8
5,100,100,8640,2773,2287.6437176610802,2451.7979817617193,2528.6020262079223,2235.083977276596,0.2447698110515848,2.837023699656597E8,5.2873004359916234E8
5,100,100,8820,2773,2291.8781653673755,2456.8271310754144,2532.969149205905,2238.176843137562,0.24476981105158482,2.888122933404927E8,5.2873004359916234E8
5,100,100,9000,2773,2296.160133041372,2461.811976722295,2537.2849519003366,2241.340246876886,0.24476981105158518,2.9387719552284795E8,5.2873004359916234E8
5,100,100,9180,2773,2300.4872071294662,2466.752055322762,2541.5488307940723,2244.5729096238833,0.24476981105158532,2.988965859151629E8,5.2873004359916234E8
5,100,100,9360,2773,2304.857118783493,2471.6469247278696,2545.7604861119303,2247.8735008277445,0.2447698110515855,3.038699979008585E8,5.2873004359916234E8
5,100,100,9540,2773,2309.2679688406483,2476.4962019570557,2549.9197178804034,2251.2407520005495,0.2447698110515847,3.087969818342796E8,5.2873004359916234E8
5,100,100,9720,2773,2313.7170275737394,2481.2993398642016,2554.0264017599657,2254.6727470390088,0.24476981105158532,3.136771332277936E8,5.2873004359916234E8
