time,T_in
1235,689.463556
1236,689.389876
1237,689.325438
1238,689.246932
1239,689.185996
1240,689.128709
1241,689.06565
1242,688.999102
1243,688.948413
1244,688.865448
1245,688.788987
1246,688.726926
1247,688.6552
1248,688.595451
1249,688.541308
1250,688.467437
1251,688.399683
1252,688.344806
1253,688.280751
1254,688.208622
1255,688.145903
1256,688.084244
1257,688.029979
1258,687.951441
1259,687.891482
1260,687.826418
1261,687.752066
1262,687.702344
1263,687.64819
1264,687.57832
1265,687.512468
1266,687.456
1267,687.394596
1268,687.316045
1269,687.249252
1270,687.185994
1271,687.121255
1272,687.046898
1273,686.991828
1274,686.937562
1275,686.866147
1276,686.797795
1277,686.72964
1278,686.663928
1279,686.615825
1280,686.549018
1281,686.470981
1282,686.41296
1283,686.362003
1284,686.283142
1285,686.225111
1286,686.159414
1287,686.094493
1288,686.022553
1289,685.97531
1290,685.915509
1291,685.846966
1292,685.765862
1293,685.711035
1294,685.653224
1295,685.578724
1296,685.521797
1297,685.466483
1298,685.392559
1299,685.324513
1300,685.276183
1301,685.206362
1302,685.136117
1303,685.089606
1304,685.021901
1305,684.957272
1306,684.900925
1307,684.825608
1308,684.75282
1309,684.70229
1310,684.638219
1311,684.564015
1312,684.498211
1313,684.423178
1314,684.3586
1315,684.290198
1316,684.216332
1317,684.182396
1318,684.106504
1319,684.046153
1320,683.974114
1321,683.914698
1322,683.850348
1323,683.791729
1324,683.720671
1325,683.666415
1326,683.590776
1327,683.512442
1328,683.459542
1329,683.390744
1330,683.320206
1331,683.268994
1332,683.194084
1333,683.142307
1334,683.073882
1335,682.996327
1336,682.940844
1337,682.865844
1338,682.809753
1339,682.763112
1340,682.686132
1341,682.617704
1342,682.565624
1343,682.497969
1344,682.439757
1345,682.386773
1346,682.306454
1347,682.241644
1348,682.176383
1349,682.103095
1350,682.053848
1351,681.990699
1352,681.91703
1353,681.858009
1354,681.806767
1355,681.718829
1356,681.66927
1357,681.602837
1358,681.535669
1359,681.477397
1360,681.413878
1361,681.347277
1362,681.283844
1363,681.214544
1364,681.15974
1365,681.084535
1366,681.0354
1367,680.964051
1368,680.904577
1369,680.834677
1370,680.758681
1371,680.695024
1372,680.639605
1373,680.592259
1374,680.519285
1375,680.45506
1376,680.399446
1377,680.310597
1378,680.251455
1379,680.188176
1380,680.117632
1381,680.076398
1382,680.015578
1383,679.947859
1384,679.882567
1385,679.822097
1386,679.756552
1387,679.698219
1388,679.640982
1389,679.566435
1390,679.513003
1391,679.46564
1392,679.394329
1393,679.338038
1394,679.270328
1395,679.212127
1396,679.150688
1397,679.075111
1398,679.008848
1399,678.961528
1400,678.890324
1401,678.825112
1402,678.778318
1403,678.708248
1404,678.638665
1405,678.575543
1406,678.511769
1407,678.457376
1408,678.381552
1409,678.321232
1410,678.253547
1411,678.180731
1412,678.115344
1413,678.051351
1414,677.98382
1415,677.923501
1416,677.864851
1417,677.795958
1418,677.733466
1419,677.669654
1420,677.614151
1421,677.556283
1422,677.480171
1423,677.43715
1424,677.363064
1425,677.319078
1426,677.262894
1427,677.187718
1428,677.135212
1429,677.07142
1430,677.016332
1431,676.959135
1432,676.893403
1433,676.82549
1434,676.783988
1435,676.715424
1436,676.642726
1437,676.600444
1438,676.534479
1439,676.468823
1440,676.421344
1441,676.355045
1442,676.291846
1443,676.238886
1444,676.16589
1445,676.094188
1446,676.03919
1447,675.970635
1448,675.909152
1449,675.85297
1450,675.781399
1451,675.726534
1452,675.637993
1453,675.582348
1454,675.537689
1455,675.460536
1456,675.39632
1457,675.354749
1458,675.272146
1459,675.205185
1460,675.167457
1461,675.086509
1462,675.018957
1463,674.98008
1464,674.907216
1465,674.843978
1466,674.787316
1467,674.73201
1468,674.671812
1469,674.587457
1470,674.528075
1471,674.470045
1472,674.405596
1473,674.339894
1474,674.292814
1475,674.229237
1476,674.159052
1477,674.109048
1478,674.027339
1479,673.982456
1480,673.925606
1481,673.847974
1482,673.7938
1483,673.727081
1484,673.654166
1485,673.591056
1486,673.532334
1487,673.474568
1488,673.410935
1489,673.34997
1490,673.291238
1491,673.230472
1492,673.176228
1493,673.100898
1494,673.044219
1495,672.966805
1496,672.90836
1497,672.864805
1498,672.778404
1499,672.718248
1500,672.668804
1501,672.607187
1502,672.548486
1503,672.491453
1504,672.423929
1505,672.36826
1506,672.312626
1507,672.244093
1508,672.188812
1509,672.129618
1510,672.070887
1511,671.996627
1512,671.940012
1513,671.867594
1514,671.805454
1515,671.729213
1516,671.68363
1517,671.591756
1518,671.547966
1519,671.47906
1520,671.424773
1521,671.364505
1522,671.288173
1523,671.242849
1524,671.172422
1525,671.102741
1526,671.053848
1527,671.005885
1528,670.943235
1529,670.87645
1530,670.832855
1531,670.754737
1532,670.693113
1533,670.642847
1534,670.573485
1535,670.525502
1536,670.466664
1537,670.407671
1538,670.350682
1539,670.283618
1540,670.223232
1541,670.161287
1542,670.088361
1543,670.02856
1544,669.980417
1545,669.929635
1546,669.847223
1547,669.805277
1548,669.73704
1549,669.683852
1550,669.626285
1551,669.557215
1552,669.497385
1553,669.442511
1554,669.368197
1555,669.305665
1556,669.257487
1557,669.189421
1558,669.121171
1559,669.074385
1560,668.999831
1561,668.934082
1562,668.867951
1563,668.792165
1564,668.738331
1565,668.678312
1566,668.615061
1567,668.561347
1568,668.503201
1569,668.444649
1570,668.385579
1571,668.323951
1572,668.268354
1573,668.212958
1574,668.150324
1575,668.089494
1576,668.040088
1577,667.973071
1578,667.902127
1579,667.855758
1580,667.791162
1581,667.737875
1582,667.669397
1583,667.608419
1584,667.550409
1585,667.479143
1586,667.409844
1587,667.351792
1588,667.297285
1589,667.239538
1590,667.17431
1591,667.124632
1592,667.058368
1593,666.995178
1594,666.926023
1595,666.872731
1596,666.814997
1597,666.755882
1598,666.685238
1599,666.615037
1600,666.557447
1601,666.498122
1602,666.441102
1603,666.370445
1604,666.31583
1605,666.252498
1606,666.204503
1607,666.146405
1608,666.085809
1609,666.030616
1610,665.966542
1611,665.892281
1612,665.847501
1613,665.78466
1614,665.724091
1615,665.662088
1616,665.605716
1617,665.545855
1618,665.487124
1619,665.41786
1620,665.370847
1621,665.287572
1622,665.213774
1623,665.16651
1624,665.117247
1625,665.069179
1626,664.988574
1627,664.934125
1628,664.870738
1629,664.823515
1630,664.757684
1631,664.704494
1632,664.639937
1633,664.567634
1634,664.513714
1635,664.442087
1636,664.381541
1637,664.330343
1638,664.27818
1639,664.216507
1640,664.151186
1641,664.090693
1642,664.027659
1643,663.975036
1644,663.911912
1645,663.867866
1646,663.814022
1647,663.748394
1648,663.692119
1649,663.619433
1650,663.558804
1651,663.49658
1652,663.424968
1653,663.375451
1654,663.314763
1655,663.248625
1656,663.191206
1657,663.136091
1658,663.081323
1659,663.027125
1660,662.959956
1661,662.911488
1662,662.830851
1663,662.783047
1664,662.726645
1665,662.669453
1666,662.605624
1667,662.56613
1668,662.493061
1669,662.430654
1670,662.385873
1671,662.304118
1672,662.256839
1673,662.193245
1674,662.133316
1675,662.072699
1676,662.015154
1677,661.939374
1678,661.896817
1679,661.838099
1680,661.7781
1681,661.716233
1682,661.652694
1683,661.585712
1684,661.533517
1685,661.45019
1686,661.404746
1687,661.339138
1688,661.288164
1689,661.236296
1690,661.172515
1691,661.112794
1692,661.044319
1693,660.991617
1694,660.922102
1695,660.873036
1696,660.801824
1697,660.739573
1698,660.678473
1699,660.612376
1700,660.568412
1701,660.509077
1702,660.452627
1703,660.387509
1704,660.330757
1705,660.262144
1706,660.204861
1707,660.137965
1708,660.0943
1709,660.034993
1710,659.969951
1711,659.897043
1712,659.859592
1713,659.783374
1714,659.752704
1715,659.678092
1716,659.630628
1717,659.551162
1718,659.489968
1719,659.427368
1720,659.36692
1721,659.319379
1722,659.261368
1723,659.191282
1724,659.128279
1725,659.07479
1726,659.024032
1727,658.946142
1728,658.878137
1729,658.850993
1730,658.786382
1731,658.729483
1732,658.664872
1733,658.612853
1734,658.56427
1735,658.496675
1736,658.454446
1737,658.383613
1738,658.321177
1739,658.270064
1740,658.218501
1741,658.153681
1742,658.092354
1743,658.019842
1744,657.968523
1745,657.922419
1746,657.847353
1747,657.801948
1748,657.739369
1749,657.686333
1750,657.624123
1751,657.567905
1752,657.504087
1753,657.446467
1754,657.38453
1755,657.327397
1756,657.257915
1757,657.20429
1758,657.149729
1759,657.082674
1760,657.027808
1761,656.972402
1762,656.90824
1763,656.83884
1764,656.775267
1765,656.716987
1766,656.657725
1767,656.598625
1768,656.530716
1769,656.467582
1770,656.405108
1771,656.34814
1772,656.301572
1773,656.231067
1774,656.17903
1775,656.116817
1776,656.053302
1777,655.989394
1778,655.918298
1779,655.855253
1780,655.798484
1781,655.737351
1782,655.692356
1783,655.63051
1784,655.589112
1785,655.521762
1786,655.468457
1787,655.404114
1788,655.353213
1789,655.295916
1790,655.249333
1791,655.189938
1792,655.1287
1793,655.06134
1794,654.997942
1795,654.965864
1796,654.898076
1797,654.830304
1798,654.778999
1799,654.715757
1800,654.667334
1801,654.591382
1802,654.529273
1803,654.477104
1804,654.412003
1805,654.36413
1806,654.306725
1807,654.249753
1808,654.185049
1809,654.136827
1810,654.060408
1811,654.029687
1812,653.944182
1813,653.905638
1814,653.853832
1815,653.781497
1816,653.724288
1817,653.67304
1818,653.592096
1819,653.560286
1820,653.487422
1821,653.424158
1822,653.356458
1823,653.310621
1824,653.238801
1825,653.206047
1826,653.145172
1827,653.094325
1828,653.035588
1829,652.979101
1830,652.914389
1831,652.850525
1832,652.783913
1833,652.7244
1834,652.685103
1835,652.607805
1836,652.561124
1837,652.499841
1838,652.433068
1839,652.375751
1840,652.312078
1841,652.273591
1842,652.218272
1843,652.172202
1844,652.105571
1845,652.064558
1846,652.002001
1847,651.960395
1848,651.894407
1849,651.831135
1850,651.779904
1851,651.707188
1852,651.660182
1853,651.597755
1854,651.547118
1855,651.476528
1856,651.417772
1857,651.361311
1858,651.302543
1859,651.259972
1860,651.208802
1861,651.144582
1862,651.087024
1863,651.042468
1864,650.979563
1865,650.9024
1866,650.856499
1867,650.787508
1868,650.746967
1869,650.690842
1870,650.641657
1871,650.583927
