% Model,tin_tegs_model_3_HF.mph
% Version,COMSOL 6.1.0.357
% Date,"Jun 3 2024, 14:57"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (degC),Temperature (degC),"Temperature (degC), Point: 43"
401,766.6836915783014,750.3351363254119,789.978403999086
402,766.606561723862,750.2581320109624,789.8930603788953
403,766.5294318694221,750.181127696512,789.8077167587047
404,766.4523020149818,750.1041233820623,789.722373138514
405,766.3751721605416,750.0271190676123,789.6370295183234
406,766.2980423061023,749.9501147531619,789.5516858981326
407,766.220912451662,749.873110438712,789.4663422779419
408,766.1437825972222,749.7961061242615,789.3809986577511
409,766.0666527427824,749.7191018098121,789.2956550375606
410,765.9895228883423,749.6420974953616,789.2103114173698
411,765.9123930339023,749.5650931809114,789.124967797179
412,765.8352631794623,749.488088866462,789.0396241769882
413,765.7581333250225,749.4110845520112,788.9542805567975
414,765.6810034705826,749.3340802375618,788.8689369366069
415,765.6038736161426,749.2570759231111,788.7835933164162
416,765.5267437617026,749.1800716086615,788.6982496962254
417,765.4496139072629,749.1030672942112,788.6129060760346
418,765.3724840528231,749.0260629797614,788.5275624558441
419,765.295354198383,748.9490586653108,788.4422188356533
420,765.2182243439431,748.8720543508614,788.3568752154625
421,765.1410944895031,748.7950500364113,788.271531595272
422,765.0639646350631,748.7180457219612,788.1861879750812
423,764.9868347806232,748.6410414075115,788.1008443548905
424,764.9097049261832,748.5640370930608,788.0155007346997
425,764.8325750717433,748.4870327786107,787.9301571145091
426,764.7554452173031,748.4100284641612,787.8448134943184
427,764.6783153628636,748.3330241497113,787.7594698741276
428,764.6011855084237,748.2560198352603,787.6741262539368
429,764.5240556539832,748.1790155208106,787.5887826337461
430,764.4469257995436,748.102011206361,787.5034390135555
431,764.3697959451036,748.0250068919105,787.4180953933648
432,764.2926660906643,747.9480025774606,787.3327517731742
433,764.2155362362239,747.8709982630108,787.2474081529834
434,764.1384063817839,747.7939939485608,787.1620645327927
435,764.0612765273438,747.7169896341104,787.0767209126019
436,763.9841466729041,747.6399853196605,786.9913772924114
437,763.907016818464,747.5629810052103,786.9060336722206
438,763.8298869640242,747.4859766907605,786.8206900520298
439,763.7527571095842,747.4089723763104,786.735346431839
440,763.6756272551447,747.33196806186,786.6500028116483
441,763.5984974007044,747.2549637474098,786.5646591914577
442,763.5213675462643,747.1779594329606,786.479315571267
443,763.4442376918249,747.1009551185102,786.3939719510762
444,763.3671078373848,747.0239508040598,786.3086283308854
445,763.2899779829447,746.94694648961,786.2232847106949
446,763.2128481285044,746.8699421751601,786.1379410905041
447,763.1357182740652,746.7929378607099,786.0525974703133
448,763.0585884196252,746.7159335462595,785.9672538501228
449,762.981458565185,746.6389292318097,785.881910229932
450,762.9043287107451,746.5619249173598,785.7965666097413
451,762.8271988563052,746.4849206029097,785.7112229895505
452,762.7500690018652,746.4079162884597,785.62587936936
453,762.6729391474257,746.3309119740096,785.5405357491692
454,762.5958092929852,746.2539076595594,785.4551921289784
455,762.5186794385453,746.1769033451096,785.3698485087876
456,762.441549584105,746.0998990306595,785.2845048885969
457,762.3644197296657,746.0228947162099,785.1991612684063
458,762.2872898752256,745.945890401759,785.1138176482156
459,762.2101600207858,745.868886087309,785.0284740280248
460,762.1330301663457,745.7918817728589,784.943130407834
461,762.0559003119059,745.714877458409,784.8577867876435
462,761.9787704574659,745.6378731439593,784.7724431674527
463,761.9016406030261,745.5608688295089,784.6870995472622
464,761.8245107485864,745.4838645150594,784.6017559270714
465,761.7473808941459,745.406860200609,784.5164123068806
466,761.6702510397065,745.3298558861588,784.4310686866899
467,761.5931211852666,745.2528515717089,784.3457250664991
468,761.5159913308268,745.175847257259,784.2603814463085
469,761.4388614763861,745.0988429428089,784.1750378261178
470,761.3617316219467,745.0218386283581,784.089694205927
471,761.2846017675064,744.9448343139084,784.0043505857362
472,761.2074719130669,744.8678299994585,783.9190069655457
473,761.1303420586268,744.7908256850081,783.8336633453549
474,761.0532122041868,744.7138213705584,783.7483197251642
475,760.9760823497471,744.6368170561082,783.6629761049734
476,760.898952495307,744.5598127416584,783.5776324847826
477,760.8218226408669,744.4828084272083,783.4922888645921
478,760.7446927864272,744.4058041127585,783.4069452444013
479,760.667562931987,744.3287997983083,783.3216016242108
480,760.5904330775476,744.2517954838577,783.23625800402
481,760.5133032231074,744.1747911694077,783.1509143838292
482,760.4361733686676,744.0977868549581,783.0655707636384
483,760.3590435142276,744.020782540508,782.9802271434479
484,760.2819136597875,743.9437782260572,782.8948835232571
485,760.2047838053475,743.8667739116087,782.8095399030664
486,760.1276539509078,743.7897695971576,782.7241962828756
487,760.0505240964678,743.7127652827077,782.6388526626848
488,759.9733942420279,743.6357609682577,782.5535090424943
489,759.8962643875878,743.5587566538077,782.4681654223035
490,759.8191345331478,743.481752339358,782.382821802113
491,759.7420046787079,743.4047480249073,782.2974781819222
492,759.6648748242683,743.3277437104582,782.2121345617314
493,759.5877449698283,743.2507393960074,782.1267909415407
494,759.5106151153883,743.1737350815569,782.0414473213499
495,759.4334852609485,743.096730767107,781.9561037011593
496,759.3563554065086,743.0197264526577,781.8707600809686
497,759.2792255520682,742.9427221382072,781.7854164607778
498,759.2020956976285,742.8657178237572,781.700072840587
499,759.1249658431888,742.7887135093071,781.6147292203965
500,759.0478359887485,742.7117091948571,781.5293856002057
501,758.9707061343086,742.634704880407,781.444041980015
502,758.8935762798686,742.5577005659568,781.3586983598242
503,758.8164464254288,742.4806962515069,781.2733547396334
504,758.739316570989,742.4036919370568,781.1880111194429
505,758.6621867165491,742.3266876226066,781.1026674992521
506,758.5850568621094,742.249683308157,781.0173238790616
507,758.5079270076695,742.1726789937069,780.9319802588708
508,758.4307971532293,742.0956746792567,780.84663663868
509,758.3536672987893,742.0186703648069,780.7612930184893
510,758.2765374443493,741.9416660503559,780.6759493982987
511,758.1994075899094,741.8646617359065,780.5906057781079
512,758.1222777354695,741.7876574214566,780.5052621579172
513,758.0451478810297,741.7106531070064,780.4199185377264
514,757.9680180265893,741.6336487925564,780.3345749175356
515,757.8908881721494,741.5566444781063,780.2492312973451
516,757.8137583177097,741.4796401636562,780.1638876771543
517,757.7366284632699,741.4026358492063,780.0785440569636
518,757.65949860883,741.3256315347561,779.9932004367728
519,757.5823687543902,741.2486272203063,779.9078568165822
520,757.5052388999501,741.1716229058561,779.8225131963915
521,757.4281090455098,741.0946185914065,779.7371695762007
522,757.3509791910701,741.0176142769558,779.6518259560102
523,757.2738493366302,740.940609962506,779.5664823358194
524,757.1967194821906,740.8636056480559,779.4811387156286
525,757.1195896277507,740.7866013336054,779.3957950954378
526,757.0424597733104,740.7095970191554,779.3104514752473
