% Model,tin_tegs_model_2_HF.mph
% Version,COMSOL 6.1.0.357
% Date,"Jun 1 2024, 11:32"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (K),Temperature (K),"Temperature (K), Point: 51"
148,1060.5891859945007,1040.0856963355166,1070.0410755625337
149,1060.5418083282111,1040.045131131583,1069.9496523665584
150,1060.4944306619211,1040.0045659276489,1069.8582291705834
151,1060.4470529956313,1039.9640007237156,1069.7668059746081
152,1060.399675329342,1039.9234355197823,1069.675382778633
153,1060.3522976630518,1039.8828703158488,1069.5839595826578
154,1060.3049199967616,1039.8423051119146,1069.4925363866826
155,1060.2575423304716,1039.8017399079815,1069.4011131907075
156,1060.2101646641818,1039.7611747040485,1069.3096899947323
157,1060.1627869978922,1039.7206095001156,1069.2182667987572
158,1060.1154093316025,1039.6800442961821,1069.126843602782
159,1060.0680316653131,1039.639479092248,1069.0354204068067
160,1060.0188972540275,1039.591912083422,1068.95221528066
161,1059.9658980037532,1039.5289411038336,1068.8870899081355
162,1059.9128987534789,1039.4659701242429,1068.8219645356112
163,1059.8598995032037,1039.4029991446548,1068.7568391630869
164,1059.8069002529294,1039.3400281650652,1068.6917137905625
165,1059.753901002655,1039.2770571854744,1068.626588418038
166,1059.7009017523799,1039.214086205886,1068.5614630455136
167,1059.6479025021056,1039.1511152262958,1068.4963376729893
168,1059.594903251831,1039.0881442467075,1068.431212300465
169,1059.541904001557,1039.0251732671175,1068.3660869279404
170,1059.4889047512822,1038.9622022875278,1068.300961555416
171,1059.4359055010073,1038.8992313079384,1068.2358361828917
172,1059.3829062507332,1038.8362603283488,1068.1707108103674
173,1059.329907000459,1038.7732893487591,1068.1055854378428
174,1059.2769077501837,1038.7103183691702,1068.0404600653185
175,1059.2239084999094,1038.6473473895803,1067.9753346927941
176,1059.170909249635,1038.5843764099916,1067.9102093202698
177,1059.11790999936,1038.5214054304017,1067.8450839477453
178,1059.0649107490863,1038.4584344508125,1067.779958575221
179,1059.0119114988113,1038.3954634712236,1067.7148332026966
180,1058.9589122485368,1038.3324924916337,1067.6497078301722
181,1058.905912998262,1038.2695215120439,1067.5845824576477
182,1058.8529137479877,1038.2065505324551,1067.5194570851236
183,1058.799914497713,1038.143579552865,1067.454331712599
184,1058.7469152474387,1038.0806085732763,1067.3892063400747
185,1058.6939159971637,1038.0176375936865,1067.3240809675501
186,1058.6409167468892,1037.9546666140968,1067.258955595026
187,1058.5879174966146,1037.891695634508,1067.1938302225014
188,1058.53491824634,1037.8287246549182,1067.128704849977
189,1058.4819189960658,1037.7657536753288,1067.0635794774525
190,1058.4289197457908,1037.7027826957394,1066.9984541049284
191,1058.3759204955163,1037.6398117161502,1066.9333287324039
192,1058.3229212452416,1037.5768407365601,1066.8682033598795
193,1058.2699219949673,1037.5138697569714,1066.8030779873552
194,1058.2169227446925,1037.450898777382,1066.7379526148309
195,1058.1639234944182,1037.3879277977921,1066.6728272423063
196,1058.1109242441435,1037.3249568182025,1066.607701869782
197,1058.0579249938692,1037.261985838613,1066.5425764972576
198,1058.0049257435949,1037.1990148590237,1066.4774511247333
199,1057.9519264933203,1037.1360438794347,1066.4123257522087
200,1057.8989272430454,1037.0730728998449,1066.3472003796844
201,1057.845927992771,1037.0101019202561,1066.28207500716
202,1057.7929287424965,1036.9471309406665,1066.2169496346357
203,1057.7399294922218,1036.884159961077,1066.1518242621112
204,1057.6869302419475,1036.8211889814875,1066.0866988895868
205,1057.6339309916727,1036.7582180018983,1066.0215735170625
206,1057.5809317413982,1036.6952470223093,1065.9564481445382
207,1057.5279324911237,1036.632276042719,1065.8913227720136
208,1057.4749332408492,1036.5693050631298,1065.8261973994893
209,1057.4219339905742,1036.5063340835409,1065.761072026965
210,1057.3689347403001,1036.4433631039515,1065.6959466544406
211,1057.3159354900254,1036.380392124362,1065.630821281916
212,1057.262936239751,1036.317421144772,1065.5656959093917
213,1057.2099369894768,1036.2544501651826,1065.5005705368674
214,1057.156937739202,1036.191479185593,1065.435445164343
215,1057.1039384889275,1036.1285082060042,1065.3703197918185
216,1057.0509392386523,1036.0655372264137,1065.3051944192941
217,1056.9979399883778,1036.0025662468254,1065.2400690467698
218,1056.9449407381035,1035.939595267236,1065.1749436742455
219,1056.8919414878292,1035.8766242876466,1065.109818301721
220,1056.8389422375546,1035.813653308057,1065.0446929291968
221,1056.7859429872801,1035.7506823284673,1064.9795675566722
222,1056.7329437370051,1035.687711348878,1064.914442184148
223,1056.6799444867308,1035.6247403692885,1064.8493168116236
224,1056.6269452364563,1035.5617693896986,1064.7841914390992
225,1056.5739459861813,1035.4987984101092,1064.7190660665747
226,1056.5209467359068,1035.4358274305205,1064.6539406940503
227,1056.4679474856327,1035.3728564509308,1064.588815321526
228,1056.4149482353585,1035.309885471341,1064.5236899490017
229,1056.3619489850837,1035.246914491752,1064.458564576477
230,1056.3089497348092,1035.1839435121626,1064.3934392039528
231,1056.2559504845344,1035.1209725325734,1064.3283138314284
232,1056.2029512342601,1035.0580015529827,1064.263188458904
233,1056.1499519839854,1034.9950305733948,1064.1980630863795
234,1056.0969527337109,1034.9320595938045,1064.1329377138552
235,1056.0439534834368,1034.8690886142147,1064.0678123413309
236,1055.9909542331616,1034.8061176346255,1064.0026869688065
237,1055.9379549828868,1034.7431466550363,1063.937561596282
238,1055.884955732612,1034.6801756754467,1063.8724362237576
239,1055.8319564823382,1034.6172046958577,1063.8073108512333
240,1055.7789572320632,1034.554233716267,1063.742185478709
241,1055.7259579817887,1034.491262736679,1063.6770601061844
242,1055.672958731514,1034.4282917570886,1063.61193473366
243,1055.61995948124,1034.3653207775,1063.5468093611357
244,1055.5669602309652,1034.3023497979104,1063.4816839886114
245,1055.5139609806909,1034.239378818321,1063.4165586160868
246,1055.460961730416,1034.1764078387316,1063.3514332435625
247,1055.4079624801414,1034.1134368591418,1063.2863078710382
248,1055.3549632298668,1034.0504658795526,1063.2211824985138
249,1055.3019639795923,1033.9874948999636,1063.1560571259893
250,1055.248964729318,1033.9245239203744,1063.090931753465
251,1055.1959654790435,1033.8615529407841,1063.0258063809406
252,1055.142966228769,1033.798581961195,1062.9606810084163
253,1055.0899669784942,1033.7356109816058,1062.895555635892
254,1055.0369677282192,1033.672640002016,1062.8304302633674
255,1054.9839684779454,1033.6096690224267,1062.765304890843
256,1054.9309692276704,1033.546698042837,1062.7001795183187
257,1054.8779699773957,1033.4837270632486,1062.6350541457944
258,1054.8249707271218,1033.4207560836583,1062.5699287732698
259,1054.771971476847,1033.357785104069,1062.5048034007455
260,1054.718972226572,1033.2948141244797,1062.4396780282211
261,1054.6659729762978,1033.2318431448896,1062.3745526556968
262,1054.6129737260233,1033.1688721653004,1062.3094272831725
263,1054.5599744757487,1033.1059011857114,1062.244301910648
264,1054.506975225474,1033.0429302061216,1062.1791765381236
265,1054.4539759751995,1032.9799592265324,1062.1140511655992
266,1054.4009767249252,1032.916988246943,1062.048925793075
267,1054.3479774746509,1032.8540172673536,1061.9838004205503
268,1054.2949782243757,1032.7910462877637,1061.918675048026
269,1054.241978974101,1032.7280753081748,1061.8535496755017
270,1054.1889797238266,1032.6651043285856,1061.7884243029773
271,1054.1359804735523,1032.6021333489955,1061.7232989304528
272,1054.082981223278,1032.5391623694063,1061.6581735579284
273,1054.0299819730037,1032.476191389817,1061.593048185404
274,1053.9769827227287,1032.4132204102277,1061.5279228128798
275,1053.923983472454,1032.3502494306379,1061.4627974403552
276,1053.8709842221795,1032.287278451049,1061.3976720678309
277,1053.8179849719052,1032.2243074714597,1061.3325466953065
278,1053.7649857216304,1032.1613364918699,1061.2674213227822
279,1053.7119864713559,1032.0983655122795,1061.2022959502576
280,1053.6589872210818,1032.0353945326917,1061.1371705777333
281,1053.6059879708064,1031.9724235531012,1061.072045205209
282,1053.5529887205319,1031.9094525735122,1061.0069198326846
283,1053.4999894702578,1031.8464815939228,1060.94179446016
284,1053.446990219983,1031.783510614334,1060.8766690876357
285,1053.3939909697087,1031.720539634744,1060.8115437151114
286,1053.340991719434,1031.6575686551544,1060.746418342587
287,1053.2879924691597,1031.594597675565,1060.6812929700627
288,1053.234993218885,1031.5316266959753,1060.6161675975382
289,1053.181993968611,1031.468655716386,1060.5510422250138
290,1053.1289947183357,1031.405684736797,1060.4859168524895
291,1053.0759954680618,1031.3427137572069,1060.4207914799651
292,1053.0229962177868,1031.2797427776175,1060.3556661074406
293,1052.9699969675123,1031.216771798028,1060.2905407349162
294,1052.9169977172378,1031.1538008184395,1060.225415362392
295,1052.8639984669628,1031.0908298388485,1060.1602899898676
296,1052.8109992166883,1031.0278588592603,1060.095164617343
297,1052.7579999664135,1030.9648878796706,1060.0300392448187
298,1052.7050007161395,1030.9019169000817,1059.9649138722943
299,1052.652001465865,1030.8389459204914,1059.89978849977
300,1052.5990022155902,1030.7759749409026,1059.8346631272457
