% Model,LargeGraphiteBlockCharge_v3_mdotbnd_charge_discharge_reverse_2_halfduty.mph
% Version,COMSOL 6.0.0.405
% Date,"Oct 3 2022, 17:53"
% Table,Accumulated Probe Table 24 - 
% hours (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate",Global Variable Probe 1
72,10,23940,2173.0208931234592,2671.369285227519,2494.7213940199595,2474.704287832519,2672.1012850049733,0.0646236099129406,32.20507209207392
72,10,24120,2173.0201458795036,2671.287410445223,2493.3805757713,2473.3634889248624,2672.052029279122,0.0646343281205014,32.205169869645424
72,10,24300,2173.01952221597,2671.202414757518,2492.0397585695196,2472.0227069093985,2672.000693766185,0.06464528181003754,32.205173481288014
72,10,24480,2173.0187960655667,2671.1141100957984,2490.6989413618257,2470.6819190807664,2671.9471451887384,0.06465671612883842,32.20520732435732
72,10,24660,2173.0179366419325,2671.0221494258612,2489.3581220946885,2469.341109638229,2671.8911445564017,0.06466875347853614,32.20531166779632
72,10,24840,2173.0171990363733,2670.9267410687858,2488.0173061453947,2468.0003572697883,2671.8328176366467,0.06468102654821067,32.205300306805874
72,10,25020,2173.0166178526033,2670.8274896637704,2486.676491249928,2466.6596016819713,2671.77189239827,0.06469391205188384,32.20533275942324
72,10,25200,2173.0160848644086,2670.7248329765816,2485.335680262371,2465.318870835417,2671.7086526668872,0.06470704519263468,32.20526245686398
72,10,25380,2173.0155035353346,2670.618035166857,2483.994869617187,2463.9781043038456,2671.6425930515984,0.06472096246192462,32.205314770682406
72,10,25560,2173.0148288904334,2670.506974073528,2482.6540563084895,2462.637290165835,2671.5736204182044,0.06473557523688324,32.205440194258664
72,10,25740,2173.0141574977993,2670.3922109346017,2481.3132464474265,2461.296540473319,2671.5021016018313,0.06475030964165278,32.20538296899545
72,10,25920,2173.0136309382474,2670.272839507302,2479.97243347958,2459.955745456042,2671.427411480135,0.06476598595413283,32.205482917746615
72,10,26100,2173.0132218163417,2670.148492080656,2478.6316121619134,2458.6148707939815,2671.3492848694164,0.06478256257223784,32.20569675276431
72,10,26280,2173.0127162972444,2670.0200761620395,2477.290796544235,2457.274123662889,2671.268322285487,0.06479902201381824,32.20559085290853
72,10,26460,2173.0122161237246,2669.887544429248,2475.9499891019873,2455.9334485170166,2671.1844868305266,0.06481593621013308,32.205439583839706
72,10,26640,2173.0117331478664,2669.7503799465176,2474.6091865343533,2454.592766253046,2671.09741491497,0.06483367376999606,32.20539137549303
72,10,26820,2173.011285015134,2669.6083809433057,2473.2683856697367,2453.2520444642396,2671.0069569065367,0.06485219556321392,32.205411981257896
72,10,27000,2173.0108745914345,2669.461408727371,2471.927585351156,2451.911296705004,2670.913003181892,0.06487140129468166,32.20544182289132
72,10,27180,2173.0104876857304,2669.309335422134,2470.5867855711913,2450.570541216752,2670.8154504117624,0.06489126752427524,32.20546130045251
72,10,27360,2173.010102093015,2669.1520328830234,2469.2459865207175,2449.2297863201525,2670.714195044728,0.0649118181780754,32.20547480196029
72,10,27540,2173.009704606746,2668.9893708263276,2467.9051882999925,2447.889035536647,2670.609132059544,0.06493308201341391,32.20548834362179
72,10,27720,2173.0093026146515,2668.821216960681,2466.564390911844,2446.5482910006003,2670.5001547371658,0.06495508074022656,32.205502928312626
72,10,27900,2173.0089201697137,2668.647437238219,2465.2235943265136,2445.207551708815,2670.387154630972,0.06497783255748667,32.20551657111833
72,10,28080,2173.008580143702,2668.467895927659,2463.8827985237403,2443.866812827482,2670.2700215681325,0.06500135590872265,32.20552732356524
72,10,28260,2173.0082857819198,2668.283381242516,2462.5420003911136,2442.526024561646,2670.1493185775257,0.06502577961595754,32.2056492066931
72,10,28440,2173.008013606049,2668.092979404412,2461.20119085062,2441.1850852328816,2670.024395087899,0.06505156704130907,32.20605284377643
72,10,28620,2173.007675669689,2667.8967997800846,2459.860374390539,2439.8442014533216,2669.895294085338,0.06507738660531244,32.206090856496665
72,10,28800,2173.0074139236785,2667.693212184632,2458.5195642784633,2438.5035007072693,2669.7607975616593,0.06510371300005623,32.20588223518483
72,10,28980,2173.0071433375974,2667.4830748516356,2457.1787698754592,2437.162933383176,2669.621506317616,0.0651306407990557,32.20553427921926
72,10,29160,2173.0068576887147,2667.266159836334,2455.8379813905976,2435.8223118933656,2669.47726698082,0.06515907833328463,32.20548058559131
72,10,29340,2173.006562691938,2667.0424422552187,2454.497193286634,2434.481599708697,2669.3280522458017,0.06518866995278878,32.20554189768643
72,10,29520,2173.006292006535,2666.811256870964,2453.1563993897385,2433.1407920233796,2669.1733613927327,0.06521951436444698,32.20571999921084
72,10,29700,2173.0060708639407,2666.572559452688,2451.8155985209314,2431.7999425325715,2669.013139005872,0.06525137549495048,32.20589227862854
72,10,29880,2173.0058760615775,2666.3274306066965,2450.474803508696,2430.459225621463,2668.848142336549,0.06528343894826973,32.205727588011776
