% Model,LargeGraphiteBlock_v5_PorousMedia_rad_PBC_grid_parallel_vary_flowrate_charge.mph
% Version,COMSOL 6.0.0.405
% Date,"Mar 2 2023, 10:41"
% Table,Accumulated Probe Table 2 - 
% charge_hrs (h),base_flowrate_factor,max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block1_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1","Temperature (K), block2_T","Temperature (K), block3_T","Temperature (K), block4_T","massflowrate (kg/s), mass_flowrate","P_out (W), P_out"
4,10,10,7905.6,2673.0000000000014,2652.246756943941,2642.514159818031,2672.999999999996,2652.2423808735903,2673.0000000000023,2652.238023976567,2639.532988732105,2635.5677147090164,2604.8277613241544,155.83333333333366,-789439.5349968519
4,10,10,7912.8,2673.0000000000014,2652.291170044134,2642.5904684057064,2672.999999999996,2652.2867592722528,2673.0000000000023,2652.2824441460857,2639.6147707943255,2635.6562335694025,2604.9609268602544,155.83333333333366,-787750.5320843316
4,10,10,7920,2673.0000000000014,2652.3355102029304,2642.666584220215,2672.999999999996,2652.3310713723063,2673.0000000000023,2652.3268363422353,2639.6963525786755,2635.744543507275,2605.093843597434,155.83333333333354,-786062.5928128588
4,10,10,7927.2,2673.0000000000014,2652.3795665938233,2642.742507256232,2672.999999999996,2652.3751516487946,2673.0000000000023,2652.3709395278042,2639.7777346951225,2635.83264324892,2605.226511520592,155.83333333333354,-784385.6426869796
4,10,10,7934.400000000001,2673.0000000000014,2652.4233850222136,2642.8182385006457,2672.999999999996,2652.4189963093413,2673.0000000000023,2652.414772937694,2639.8589159987896,2635.920534114231,2605.358932012655,155.83333333333357,-782718.9503314425
4,10,10,7941.6,2673.0000000000014,2652.467051879426,2642.8937789371494,2672.999999999996,2652.4627137707635,2673.0000000000023,2652.4584830167387,2639.9398967565967,2636.0082201307955,2605.491105420369,155.8333333333336,-781056.9474259237
4,10,10,7948.8,2673.0000000000014,2652.5107721823906,2642.9691283627985,2672.999999999996,2652.5064732209034,2673.0000000000023,2652.502235941053,2640.020679158896,2636.095699912032,2605.623033545413,155.83333333333357,-779393.3154004387
4,10,10,7956,2673.0000000000014,2652.5544687386187,2643.0442869274307,2672.999999999996,2652.5502011773624,2673.0000000000023,2652.54600680844,2640.101264485812,2636.1829724826157,2605.7547152713846,155.83333333333363,-777729.0011194716
4,10,10,7963.2,2673.0000000000014,2652.5981565464217,2643.119256841365,2672.999999999996,2652.5938454152624,2673.0000000000023,2652.5896846980136,2640.181653796749,2636.2700370799917,2605.886150406198,155.83333333333363,-776068.222165053
4,10,10,7970.400000000001,2673.0000000000014,2652.6416552229484,2643.194036757178,2672.999999999996,2652.63731867781,2673.0000000000023,2652.6331672129995,2640.261843560884,2636.3568941198805,2606.017339841143,155.8333333333336,-774414.8720033447
4,10,10,7977.6,2673.0000000000014,2652.6850464178665,2643.2686267073113,2672.999999999996,2652.680690495736,2673.0000000000023,2652.676486621984,2640.3418356213774,2636.4435484916316,2606.1482841921234,155.83333333333366,-772767.7236759946
4,10,10,7984.8,2673.0000000000014,2652.7284216312237,2643.343028785001,2672.999999999996,2652.7240276248895,2673.0000000000023,2652.719771392716,2640.4216313165166,2636.529999366284,2606.278984398703,155.8333333333336,-771121.8924098819
4,10,10,7992,2673.0000000000014,2652.771660133478,2643.4172438431483,2672.999999999996,2652.767282506644,2673.0000000000023,2652.7630370443985,2640.5012320760206,2636.616246130952,2606.4094413849966,155.83333333333363,-769476.7881142893
4,10,10,7999.2,2673.0000000000014,2652.814806279794,2643.4912707651124,2672.999999999996,2652.8104720284614,2673.0000000000023,2652.8062777640002,2640.580638971137,2636.702285570165,2606.5396551996537,155.83333333333363,-767832.6318190937
4,10,10,8006.400000000001,2673.0000000000014,2652.8580003577554,2643.565110849591,2672.999999999996,2652.853654342708,2673.0000000000023,2652.849476441473,2640.659850231982,2636.7881205839208,2606.6696253740974,155.8333333333336,-766190.0741061196
4,10,10,8013.6,2673.0000000000014,2652.9009609751693,2643.6387643197745,2672.999999999996,2652.89662835521,2673.0000000000023,2652.8924561291183,2640.7388658364744,2636.8737560074505,2606.7993517753634,155.8333333333335,-764555.8431159665
4,10,10,8020.8,2673.0000000000014,2652.9436793494388,2643.7122311117428,2672.999999999996,2652.939373433049,2673.0000000000023,2652.935206421219,2640.8176882976786,2636.9591913161294,2606.928835342378,155.83333333333354,-762930.3345095178
4,10,10,8028,2673.0000000000014,2652.9864092870484,2643.7855126410855,2672.999999999996,2652.982046538661,2673.0000000000023,2652.977816936918,2640.896317243054,2637.044424103903,2607.058076523753,155.83333333333363,-761310.1406675561
4,10,10,8035.2,2673.0000000000014,2653.0291470419265,2643.858610007283,2672.999999999996,2653.024718336948,2673.0000000000023,2653.0204465577267,2640.9747536177456,2637.129453395945,2607.1870774880213,155.83333333333366,-759689.2203855824
4,10,10,8042.400000000001,2673.0000000000014,2653.0717782303464,2643.9315217516614,2672.999999999996,2653.067412252025,2673.0000000000023,2653.0632069940834,2641.0529973518173,2637.214279891685,2607.3158393501317,155.83333333333366,-758063.3260606678
4,10,10,8049.6,2673.0000000000014,2653.1143443289257,2644.0042496256615,2672.999999999996,2653.1100630122237,2673.0000000000023,2653.1059237521144,2641.1310485802405,2637.2989086421753,2607.4443591354166,155.83333333333363,-756439.092531204
4,10,10,8056.8,2673.0000000000014,2653.156732829945,2644.0767942164457,2672.999999999996,2653.1524789129016,2673.0000000000023,2653.148379336319,2641.2089083922015,2637.383338822681,2607.57263649517,155.83333333333366,-754824.7897010419
4,10,10,8064,2673.0000000000014,2653.198915687791,2644.149153959126,2672.999999999996,2653.1946528468106,2673.0000000000023,2653.19056901256,2641.2865765538004,2637.4675686654314,2607.700675105087,155.83333333333363,-753220.597578179
4,10,10,8071.2,2673.0000000000014,2653.2411247275973,2644.2213318188446,2672.999999999996,2653.236799871097,2673.0000000000023,2653.232631253664,2641.3640555757997,2637.551597257079,2607.8284740333957,155.83333333333357,-751621.2509640772
4,10,10,8078.400000000001,2673.0000000000014,2653.2833988030975,2644.29332839397,2672.999999999996,2653.2790215445934,2673.0000000000023,2653.2747947354756,2641.441343541204,2637.6354262071704,2607.9560349123612,155.8333333333336,-750018.0548404491
