% Model,LargeGraphiteBlockDischarge_v3_longblock_sweep_LUDk.mph
% Version,COMSOL 6.0.0.405
% Date,"Mar 26 2024, 13:19"
% Table,Accumulated Probe Table 2 - 
% k_C (W/(m*K)),D_C (m),H (m),k_Sn (W/(m*K)),U_Sn (m/s),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block","Temperature (K), Sn_block","Temperature (K), bottom_right_corner"
10,0.2,1,60,0.01,26621.10642439974,2173.0000000000005,2321.2901318177605,2251.5999788000977,2233.1561828481513,2341.8017869631267
10,0.2,1,60,0.01,26848.637248539908,2173.0000000000005,2318.6830763663515,2250.102577788497,2231.9834354599507,2338.913138515754
10,0.2,1,60,0.01,27076.168072680077,2173.0000000000005,2316.113893283768,2248.6315933983487,2230.8320024116524,2336.0633542994888
10,0.2,1,60,0.01,27303.698896820246,2173.0000000000005,2313.5829086122135,2247.1866320115823,2229.7012331325104,2333.25234119603
10,0.2,1,60,0.01,27531.229720960415,2173.0000000000005,2311.0894908537407,2245.7673073186565,2228.5912387671146,2330.4800080001346
10,0.2,1,60,0.01,27758.76054510058,2173.0000000000005,2308.632931962876,2244.3732397775548,2227.5024271674006,2327.7462245581914
10,0.2,1,60,0.01,27986.29136924075,2173.0000000000005,2306.213274637451,2243.0040495423186,2226.4346689445606,2325.050816974228
10,0.2,1,60,0.01,28213.822193380918,2173.0000000000005,2303.830874776202,2241.6593543064087,2225.387056095816,2322.3935951090866
10,0.2,1,60,0.01,28441.353017521087,2173.0000000000005,2301.485358696976,2240.3387761128633,2224.358484482239,2319.7743721354746
10,0.2,1,60,0.01,28668.883841661256,2173.0000000000005,2299.1754293983195,2239.0419498433985,2223.3484022747,2317.192951622076
10,0.2,1,60,0.01,28896.414665801425,2173.0000000000005,2296.8997395031233,2237.7685214423295,2222.3570539413004,2314.64909724018
10,0.2,1,60,0.01,29123.945489941594,2173.0000000000005,2294.658055808068,2236.518136543492,2221.38493907748,2312.142527540804
10,0.2,1,60,0.01,29351.476314081763,2173.0000000000005,2292.4514759202616,2235.2904309687215,2220.4319744999175,2309.672954508161
10,0.2,1,60,0.01,29579.007138221932,2173.0000000000005,2290.2812073331547,2234.085033060939,2219.49730013257,2307.240128102786
10,0.2,1,60,0.01,29806.5379623621,2173.0000000000005,2288.1470212479817,2232.901578524357,2218.5798196063542,2304.84383533593
10,0.2,1,60,0.01,30034.06878650227,2173.0000000000005,2286.0470912636,2231.7397203467663,2217.678917005482,2302.483849814998
10,0.2,1,60,0.01,30261.59961064244,2173.0000000000005,2283.9793873326958,2230.5991246529766,2216.79474377041,2300.1598789199693
10,0.2,1,60,0.01,30489.130434782608,2173.0000000000005,2281.9432083843153,2229.479458394747,2215.9277690699905,2297.8715622324944
10,0.2,1,60,0.01,30716.661258922773,2173.0000000000005,2279.9393363321233,2228.380382492424,2215.078027539604,2295.6185241025587
10,0.2,1,60,0.01,30944.192083062942,2173.0000000000005,2277.9688128556472,2227.301556318868,2214.244866969072,2293.4004293585704
10,0.2,1,60,0.01,31171.72290720311,2173.0000000000005,2276.0316180728496,2226.2426462428175,2213.427321538387,2291.216990177524
10,0.2,1,60,0.01,31399.25373134328,2173.0000000000005,2274.126561610017,2225.2033282734483,2212.624729411208,2289.067922865175
10,0.2,1,60,0.01,31626.78455548345,2173.0000000000005,2272.252337212533,2224.1832825481006,2211.8370944689113,2286.952901601212
10,0.2,1,60,0.01,31854.31537962362,2173.0000000000005,2270.4085943084915,2223.182186383449,2211.064819248592,2284.8715572375822
10,0.2,1,60,0.01,32081.846203763787,2173.0000000000005,2268.5957922241637,2222.1997161583845,2210.30802545707,2282.8235163364307
10,0.2,1,60,0.01,32309.377027903956,2173.0000000000005,2266.814082089581,2221.2355564861296,2209.566178827438,2280.8084328671616
10,0.2,1,60,0.01,32536.907852044125,2173.0000000000005,2265.0626445810285,2220.2894046928704,2208.8383808164285,2278.825979751871
10,0.2,1,60,0.01,32764.438676184294,2173.0000000000005,2263.3401163117933,2219.36096697715,2208.123999519318,2276.875811458982
10,0.2,1,60,0.01,32991.96950032446,2173.0000000000005,2261.6456686811844,2218.449949189559,2207.423031710325,2274.957541728146
10,0.2,1,60,0.01,33219.50032446463,2173.0000000000005,2259.979618398194,2217.5560507512278,2206.7358260846886,2273.070765688692
