% Model,LargeGraphiteBlock_v5_PorousMedia_rad_PBC_topbottom_charge.mph
% Version,COMSOL 6.0.0.405
% Date,"Jan 19 2024, 21:48"
% Table,Accumulated Probe Table 2 - 
% charge_hrs (h),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block1_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1","Temperature (K), block2_T","Temperature (K), block3_T","Temperature (K), block4_T"
4,5760,2673.0000000000023,2245.980626297898,2607.262885606788,2672.999999999995,2245.964697302414,2673.0000000000014,2245.948746471844,2602.1596051023957,2595.987122092387,2210.3247599522006
4,5904,2673.0000000000023,2248.933294874267,2610.4621410099717,2672.999999999995,2248.9172977826706,2673.0000000000014,2248.9011988470843,2605.5163020509517,2599.4990470799294,2212.3408921509667
4,6048,2673.0000000000023,2251.927272673801,2613.5038992136633,2672.999999999995,2251.9111834929718,2673.0000000000014,2251.894932019628,2608.7157277897136,2602.8598418714264,2214.408593345386
4,6192,2673.0000000000023,2254.9604386510555,2616.3480598226674,2672.999999999995,2254.9441150165803,2673.0000000000014,2254.927648202124,2611.7346621984166,2606.0514096552665,2216.5252649607064
4,6336,2673.0000000000023,2258.0322618983905,2619.0520553469173,2672.999999999995,2258.0156206714723,2673.0000000000014,2257.998898365401,2614.606467813258,2609.100191693277,2218.6931439159375
4,6480,2673.0000000000023,2261.1412987189815,2621.653614334186,2672.999999999995,2261.12428624995,2673.0000000000014,2261.107282327907,2617.3557518233206,2612.0248783817215,2220.911154605109
4,6624,2673.0000000000023,2264.2849854499336,2624.0996062091663,2672.999999999995,2264.2678934017663,2673.0000000000014,2264.2507417802376,2619.9548446346826,2614.79912276892,2223.176555460904
4,6768,2673.0000000000023,2267.463484094967,2626.444877852966,2672.999999999995,2267.4463900115697,2673.0000000000014,2267.4291322492045,2622.439258567339,2617.4500703353033,2225.491876904463
4,6912,2673.0000000000023,2270.675822210614,2628.72245591294,2672.999999999995,2270.6586092955613,2673.0000000000014,2270.6412057284624,2624.8337014230187,2619.997656336563,2227.856800626394
4,7056,2673.0000000000023,2273.9191994377024,2630.8532802717186,2672.999999999995,2273.901782098201,2673.0000000000014,2273.884212768404,2627.095367268894,2622.406943877735,2230.2673057450775
4,7200,2673.0000000000023,2277.193084133252,2632.8896529581684,2672.999999999995,2277.1753127675393,2673.0000000000014,2277.1575052118137,2629.2561358504418,2624.708305121512,2232.7249277781466
4,7344,2673.0000000000023,2280.4963375141465,2634.8692787115156,2672.999999999995,2280.478427973329,2673.0000000000014,2280.4604730770984,2631.340987431121,2626.9258305828303,2235.2297879089147
4,7488,2673.0000000000023,2283.826099893883,2636.6968291439816,2672.999999999995,2283.8082289367367,2673.0000000000014,2283.7902105911817,2633.2945749546475,2629.0154067966073,2237.7768963928124
4,7632,2673.0000000000023,2287.181656236008,2638.436293188735,2672.999999999995,2287.1638448737535,2673.0000000000014,2287.145769062422,2635.1532857386583,2631.012032505223,2240.3670214719755
4,7776,2673.0000000000023,2290.5628323582205,2640.1412733060424,2672.999999999995,2290.544818978565,2673.0000000000014,2290.526567914678,2636.9521477589865,2632.944953771794,2243.0015143147702
4,7920,2673.0000000000023,2293.966645450467,2641.700046274035,2672.999999999995,2293.9482286424814,2673.0000000000014,2293.929732584222,2638.6281783397662,2634.757867214268,2245.675236425211
4,8064,2673.0000000000023,2297.391133046972,2643.187135426414,2672.999999999995,2297.3724779329295,2673.0000000000014,2297.3538263549676,2640.2256146501963,2636.4903859458973,2248.3882128162
4,8208,2673.0000000000023,2300.836395828401,2644.6680899346416,2672.999999999995,2300.8176120743824,2673.0000000000014,2300.7988470002356,2641.7889191394297,2638.1783814723685,2251.143113042134
4,8352,2673.0000000000023,2304.299741008691,2646.0030794645313,2672.999999999995,2304.280933679372,2673.0000000000014,2304.2621127968946,2643.2395441169047,2639.7507707494665,2253.9348921871924
4,8496,2673.0000000000023,2307.779880398305,2647.273405503959,2672.999999999995,2307.761189139995,2673.0000000000014,2307.7423755215204,2644.623236524125,2641.2525442844035,2256.762380421996
4,8640,2673.0000000000023,2311.2774398275646,2648.558404539554,2672.999999999995,2311.258793194306,2673.0000000000014,2311.2399415414984,2645.9899099106224,2642.7283531183143,2259.6291753132905
4,8784,2673.0000000000023,2314.790035010803,2649.6883819987847,2672.999999999995,2314.7712210321706,2673.0000000000014,2314.7522311312746,2647.2405979270397,2644.0892453976676,2262.5303100253964
4,8928,2673.0000000000023,2318.3153693762165,2650.7599987789254,2672.999999999995,2318.296169048897,2673.0000000000014,2318.276963375849,2648.4259582569043,2645.3867123573973,2265.462877380995
4,9072,2673.0000000000023,2321.8510624858204,2651.8306924210588,2672.999999999995,2321.8317638037406,2673.0000000000014,2321.8125017961743,2649.582017776506,2646.6517770738988,2268.4301389508437
4,9216,2673.0000000000023,2325.3972232106544,2652.797678456008,2672.999999999995,2325.3780048381327,2673.0000000000014,2325.3587687514,2650.646756072457,2647.82690522415,2271.427767878353
4,9360,2673.0000000000023,2328.9527743101753,2653.750532141722,2672.999999999995,2328.9337300100833,2673.0000000000014,2328.914552063941,2651.6723084142254,2648.960416079124,2274.4538861998517
4,9504,2673.0000000000023,2332.5172150752464,2654.6853950879913,2672.999999999995,2332.4982729264866,2673.0000000000014,2332.479106944874,2652.6645639855533,2650.05333911764,2277.5109260398463
4,9648,2673.0000000000023,2336.0883685716008,2655.510407669502,2672.999999999995,2336.069415699128,2673.0000000000014,2336.0502420363628,2653.573516510848,2651.0566230418053,2280.596162020016
4,9792,2673.0000000000023,2339.664780123405,2656.3451821447707,2672.999999999995,2339.6455850329535,2673.0000000000014,2339.6262987888695,2654.470548108965,2652.039607229544,2283.706969998599
4,9936,2673.0000000000023,2343.2463407638056,2657.1825069109486,2672.999999999995,2343.226854864162,2673.0000000000014,2343.207396768429,2655.359076827824,2653.006665681343,2286.845703080206
4,10080,2673.0000000000023,2346.831002755593,2657.8985579181194,2672.999999999995,2346.811562973779,2673.0000000000014,2346.792135461447,2656.166259066033,2653.890556253501,2290.0096469495115
4,10224,2673.0000000000023,2350.41711622561,2658.628444236026,2672.999999999995,2350.3979389319566,2673.0000000000014,2350.3786530561842,2656.965306347588,2654.766421974894,2293.194874151897
4,10368,2673.0000000000023,2354.005069309096,2659.363562153533,2672.999999999995,2353.986197492596,2673.0000000000014,2353.9670735112018,2657.7537039354625,2655.634999307309,2296.403791132617
4,10512,2673.0000000000023,2357.593278918656,2659.9554632128325,2672.999999999995,2357.5745533862696,2673.0000000000014,2357.5555231281683,2658.4414152973245,2656.407222183032,2299.6345017370536
4,10656,2673.0000000000023,2361.1797182707837,2660.5736673313727,2672.999999999995,2361.1606762913407,2673.0000000000014,2361.1414682976215,2659.120588189088,2657.1706156642786,2302.882228995331
4,10800,2673.0000000000023,2364.7638432977283,2661.2186242059197,2672.999999999995,2364.744348515738,2673.0000000000014,2364.724903226535,2659.7967550865887,2657.9306320555224,2306.149382016953
4,10944,2673.0000000000023,2368.3413281944704,2661.755271452474,2672.999999999995,2368.3219271581124,2673.0000000000014,2368.302557128434,2660.3922711678174,2658.6017626349526,2309.433529442415
4,11088,2673.0000000000023,2371.9131926708133,2662.3288059884976,2672.999999999995,2371.894323149075,2673.0000000000014,2371.875279664336,2660.993942087964,2659.2674685250663,2312.7321112640516
4,11232,2673.0000000000023,2375.4808091576765,2662.896901854306,2672.999999999995,2375.4623820579736,2673.0000000000014,2375.443598009538,2661.583803534058,2659.9141528611376,2316.04668556824
4,11376,2673.0000000000023,2379.042441529352,2663.387033701574,2672.999999999995,2379.024054178768,2673.0000000000014,2379.0052874297085,2662.119688776881,2660.499157105771,2319.3754755675855
4,11520,2673.0000000000023,2382.596450638608,2663.9122206599004,2672.999999999995,2382.577493246959,2673.0000000000014,2382.558400785537,2662.6677694440436,2661.090908563531,2322.715591876707
4,11664,2673.0000000000023,2386.141777772891,2664.4002869618002,2672.999999999995,2386.1224720797313,2673.0000000000014,2386.1032199763386,2663.189503984524,2661.661306823475,2326.0688587148497
4,11808,2673.0000000000023,2389.676433722425,2664.766445936789,2672.999999999995,2389.6573187435124,2673.0000000000014,2389.6382320620346,2663.6311729944855,2662.154786663259,2329.43377274262
4,11952,2673.0000000000023,2393.199322644597,2665.1652300529736,2672.999999999995,2393.180786917595,2673.0000000000014,2393.162067453658,2664.079739177969,2662.656731689164,2332.8065654457505
4,12096,2673.0000000000023,2396.7115479745203,2665.531924892293,2672.999999999995,2396.6936685992537,2673.0000000000014,2396.6753572928296,2664.499872229391,2663.140145564182,2336.188989608251
