% Model,LargeGraphiteBlockCharge_v3_rad_spacing_2.mph
% Version,COMSOL 6.0.0.405
% Date,"Feb 22 2023, 18:24"
% Table,Accumulated Probe Table 24 - 
% hours (h),rad_spac (m),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate",Global Variable Probe 1,"Temperature (K), G_block"
5,0.02,3780,2672.9999999999995,2174.456453261487,2281.539823540688,2314.643731288196,2173.3743870621447,0.24229738871773068,5.233893360880596E8,2310.7904940257013
5,0.02,3870,2672.9999999999995,2174.5932092007574,2284.106450232837,2317.1741271914043,2173.421554422667,0.24229738871773104,5.233893360880596E8,2313.3219235521733
5,0.02,3960,2672.9999999999995,2174.7440775676864,2286.673466746401,2319.7145330678354,2173.4736974078355,0.2422973887177302,5.233893360880596E8,2315.863584162442
5,0.02,4050,2672.9999999999995,2174.9085510611726,2289.2409945608065,2322.2574255459294,2173.5303835600894,0.2422973887177303,5.233893360880596E8,2318.4079890312755
5,0.02,4140,2672.9999999999995,2175.07968813596,2291.807629558808,2324.7944017656614,2173.591085960874,0.24229738871773007,5.233893360880596E8,2320.946443926134
5,0.02,4230,2672.9999999999995,2175.2670225517913,2294.3740340160975,2327.3363403965386,2173.657673936037,0.24229738871773018,5.233893360880596E8,2323.4898414120717
5,0.02,4320,2672.9999999999995,2175.468982275371,2296.9400568996957,2329.8768778345357,2173.7298466631605,0.24229738871773082,5.233893360880596E8,2326.0318634508308
5,0.02,4410,2672.9999999999995,2175.685255823535,2299.5051494771296,2332.4144333901736,2173.8080039635997,0.24229738871773046,5.233893360880596E8,2328.571268710519
5,0.02,4500,2672.9999999999995,2175.9154706178647,2302.068937638411,2334.948770103104,2173.8925730113287,0.24229738871773054,5.233893360880596E8,2331.1074401905234
5,0.02,4590,2672.9999999999995,2176.1524276468576,2304.6308418967055,2337.4760808672963,2173.9827709515466,0.2422973887177302,5.233893360880596E8,2333.636505146635
5,0.02,4680,2672.9999999999995,2176.406627358293,2307.1912060561726,2340.0053239668014,2174.0810686299933,0.24229738871773082,5.233893360880596E8,2336.1676961074645
5,0.02,4770,2672.9999999999995,2176.683091524841,2309.750683157138,2342.535039195823,2174.1871135004903,0.24229738871773104,5.233893360880596E8,2338.6997383348494
5,0.02,4860,2672.9999999999995,2176.9658945111796,2312.308167457974,2345.05666990356,2174.299518662056,0.2422973887177303,5.233893360880596E8,2341.223607141358
5,0.02,4950,2672.9999999999995,2177.2580076595427,2314.8633395806505,2347.574774826797,2174.419649420853,0.24229738871773046,5.233893360880596E8,2343.7439418102053
5,0.02,5040,2672.9999999999995,2177.5730375360163,2317.4172873717225,2350.097564103892,2174.5497182680274,0.24229738871773107,5.233893360880596E8,2346.2691313222244
5,0.02,5130,2672.9999999999995,2177.9063062298746,2319.9699711832623,2352.6183360842588,2174.6885801967246,0.24229738871773082,5.233893360880596E8,2348.792565033398
5,0.02,5220,2672.9999999999995,2178.2484643037214,2322.5207517747285,2355.132776939206,2174.835032072541,0.24229738871773088,5.233893360880596E8,2351.309709100417
5,0.02,5310,2672.9999999999995,2178.62383449934,2325.070403970311,2357.6527818203717,2174.9929835368744,0.24229738871773068,5.233893360880596E8,2353.8326109695117
5,0.02,5400,2672.9999999999995,2179.0150383251153,2327.6181617104585,2360.1664356943515,2175.1606925555184,0.2422973887177303,5.233893360880596E8,2356.349232620032
5,0.02,5490,2672.9999999999995,2179.422826637099,2330.163670524909,2362.6753696056808,2175.339037887568,0.2422973887177306,5.233893360880596E8,2358.8614094967975
5,0.02,5580,2672.9999999999995,2179.838829064008,2332.706725619407,2365.1774978052613,2175.5265399130803,0.24229738871773054,5.233893360880596E8,2361.3667844816155
5,0.02,5670,2672.9999999999995,2180.277191454622,2335.2473460166957,2367.6802117840957,2175.727021275239,0.24229738871773093,5.233893360880596E8,2363.872844065151
5,0.02,5760,2672.9999999999995,2180.7368600480067,2337.7859011799596,2370.1803411039305,2175.9391327556164,0.24229738871773054,5.233893360880596E8,2366.376460749508
5,0.02,5850,2672.9999999999995,2181.21831881209,2340.3221941649385,2372.6772374700886,2176.1631837046134,0.2422973887177304,5.233893360880596E8,2368.877169116973
5,0.02,5940,2672.9999999999995,2181.721468682145,2342.8560457270382,2375.17057306631,2176.3996166515103,0.24229738871773066,5.233893360880596E8,2371.374414234781
5,0.02,6030,2672.9999999999995,2182.234995956227,2345.387259969779,2377.6572831975413,2176.6466778531185,0.24229738871773118,5.233893360880596E8,2373.865030516037
5,0.02,6120,2672.9999999999995,2182.7756240785316,2347.9156326306415,2380.1436810386963,2176.908851253064,0.24229738871773082,5.233893360880596E8,2376.3555803910153
5,0.02,6210,2672.9999999999995,2183.341008264098,2350.4414507062475,2382.626271046016,2177.184652124694,0.2422973887177302,5.233893360880596E8,2378.8425944642977
5,0.02,6300,2672.9999999999995,2183.918185841963,2352.9644843824503,2385.1020775281377,2177.4720532672686,0.24229738871773082,5.233893360880596E8,2381.3228729144785
5,0.02,6390,2672.9999999999995,2184.5255292467828,2355.484348173979,2387.5769000262458,2177.775944381424,0.24229738871773093,5.233893360880596E8,2383.802365820261
5,0.02,6480,2672.9999999999995,2185.15972436443,2358.001285803765,2390.047190168583,2178.0947188112445,0.2422973887177304,5.233893360880596E8,2386.2774923872735
5,0.02,6570,2672.9999999999995,2185.8199825209304,2360.5149693192916,2392.512127667572,2178.4288465145883,0.24229738871773093,5.233893360880596E8,2388.747573620071
5,0.02,6660,2672.9999999999995,2186.5186353352187,2363.025031803515,2394.971887277498,2178.7798396527005,0.24229738871773063,5.233893360880596E8,2391.212697509457
5,0.02,6750,2672.9999999999995,2187.2352489570303,2365.5311805880647,2397.4237231766924,2179.146909087069,0.24229738871773054,5.233893360880596E8,2393.669994162844
5,0.02,6840,2672.9999999999995,2187.980694462964,2368.033096376633,2399.8693680702727,2179.532058983457,0.24229738871773088,5.233893360880596E8,2396.1214222259464
5,0.02,6930,2672.9999999999995,2188.7331215172594,2370.5312452259072,2402.3071801349347,2179.9314156646724,0.24229738871773063,5.233893360880596E8,2398.56502886008
5,0.02,7020,2672.9999999999995,2189.510087696949,2373.02480773669,2404.7420357692004,2180.3513040884527,0.24229738871773088,5.233893360880596E8,2401.0058679605463
5,0.02,7110,2672.9999999999995,2190.3363103618153,2375.5144031273517,2407.1731955739438,2180.7902335002163,0.24229738871773027,5.233893360880596E8,2403.443422714326
5,0.02,7200,2672.9999999999995,2191.1680477456807,2378.000110849544,2409.595717851794,2181.244251314075,0.24229738871773063,5.233893360880596E8,2405.8723342106828
5,0.02,7290,2672.9999999999995,2192.0117341028977,2380.481351638623,2412.012585969401,2181.7163182173704,0.2422973887177306,5.233893360880596E8,2408.2956965752787
5,0.02,7380,2672.9999999999995,2192.8696190464316,2382.9581856283617,2414.424691223696,2182.2069804346283,0.24229738871773082,5.233893360880596E8,2410.714410276149
5,0.02,7470,2672.9999999999995,2193.745669013634,2385.4307496574434,2416.832564387315,2182.716211888022,0.24229738871773066,5.233893360880596E8,2413.129032078205
5,0.02,7560,2672.9999999999995,2194.6652918993104,2387.8989173889718,2419.2394408773303,2183.2477863173476,0.24229738871773063,5.233893360880596E8,2415.5430652338846
5,0.02,7650,2672.9999999999995,2195.6036677594802,2390.363460806942,2421.6393406123534,2183.7951913016173,0.24229738871773027,5.233893360880596E8,2417.950217012745
5,0.02,7740,2672.9999999999995,2196.588562557885,2392.823198874999,2424.035262346017,2184.365013074268,0.24229738871773063,5.233893360880596E8,2420.3537564661647
5,0.02,7830,2672.9999999999995,2197.591296473102,2395.278895730386,2426.422958376012,2184.951682541536,0.24229738871773107,5.233893360880596E8,2422.7491487719385
5,0.02,7920,2672.9999999999995,2198.6384288086538,2397.729013455167,2428.8040094450353,2185.5623649037975,0.24229738871773035,5.233893360880596E8,2425.138263130668
5,0.02,8010,2672.9999999999995,2199.721387253355,2400.1736732694917,2431.1755008238574,2186.194915186825,0.2422973887177304,5.233893360880596E8,2427.518100899661
5,0.02,8100,2672.9999999999995,2200.8190299473044,2402.6134195639333,2433.5380589947745,2186.846137541911,0.24229738871773068,5.233893360880596E8,2429.889100447986
