% Model,LargeGraphiteBlock_v5_PorousMedia_rad_PBC_grid_parallel_vary_flowrate_discharge_3.mph
% Version,COMSOL 6.0.0.405
% Date,"Feb 7 2024, 08:58"
% Table,Accumulated Probe Table 2 - 
% discharge_hrs (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block1_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1","Temperature (K), block2_T","Temperature (K), block3_T","Temperature (K), block4_T","massflowrate (kg/s), mass_flowrate",Global Variable Probe 1
20,1.5,18144,2173,2668.2861377904255,2274.2041726729512,2172.999999999966,2668.314912900671,2173.0000000000014,2668.338529488153,2366.755260777228,2461.456082049803,2668.241946731876,3.145996460613491,380233.3155803714
20,1.5,18288,2173,2668.161680281358,2273.2435265769327,2172.999999999966,2668.19107299934,2173.0000000000014,2668.215227140021,2365.0949584245186,2459.540986674569,2668.1158264022974,3.1467797036568066,380233.30707228265
20,1.5,18432,2173,2668.0343918702215,2272.2942795646563,2172.999999999966,2668.0644123707402,2173.0000000000014,2668.0891123389165,2363.449980534852,2457.6350537898456,2667.986831352753,3.1475813615811887,380233.31600603386
20,1.5,18576,2173,2667.9042379643624,2271.3555345371165,2172.999999999966,2667.9348957606835,2173.0000000000014,2667.9601496375576,2361.8219035839707,2455.736267433633,2667.8549293402166,3.1484013966430724,380233.3072419974
20,1.5,18720,2173,2667.7711645746585,2270.427743291232,2172.999999999966,2667.8024688759056,2173.0000000000014,2667.8282839878134,2360.210966728385,2453.8437588722118,2667.72006616894,3.149240479365774,380233.3159937848
20,1.5,18864,2173,2667.6351391561584,2269.5115511049235,2172.999999999966,2667.667099247047,2173.0000000000014,2667.693483230799,2358.6160249599034,2451.958412025003,2667.5822081238016,3.1500985745797463,380233.3096765495
20,1.5,19008,2173,2667.4961072985766,2268.6068586801807,2172.999999999966,2667.528733488365,2173.0000000000014,2667.5556960500867,2357.034378578574,2450.0832628346066,2667.441300793515,3.1509762800226384,380233.3172465688
20,1.5,19152,2173,2667.354037606182,2267.7130926596283,2172.999999999966,2667.3873386462083,2173.0000000000014,2667.4148888723807,2355.464511996363,2448.2190194460204,2667.297310395161,3.1518735859203955,380233.307808337
20,1.5,19296,2173,2667.2088818090488,2266.8289428802486,2172.999999999966,2667.2428645065097,2173.0000000000014,2667.271009686661,2353.908268404525,2446.364800356687,2667.1501845502235,3.1527911506797905,380233.3167521667
20,1.5,19440,2173,2667.060606673459,2265.9539540425076,2172.999999999966,2667.095278876349,2173.0000000000014,2667.1240270395533,2352.3674129273054,2444.519791116309,2666.9998906299484,3.1537289308542844,380233.31043920456
20,1.5,19584,2173,2666.9091593386656,2265.088970451048,2172.999999999966,2666.9445307332594,2173.0000000000014,2666.9738897389225,2350.8426720672096,2442.682995497095,2666.8463757914806,3.154687523539211,380233.3171269152
20,1.5,19728,2173,2666.75450379116,2264.234538767471,2172.999999999966,2666.7905851165247,2173.0000000000014,2666.8205631595088,2349.3331230796093,2440.8541427680852,2666.689607535544,3.155666935499717,380233.30646869936
20,1.5,19872,2173,2666.596583119143,2263.3902524681803,2172.999999999966,2666.63338599044,2173.0000000000014,2666.663992298066,2347.8359785561847,2439.034806075117,2666.529532809979,3.156667866497325,380233.3157655359
20,1.5,20016,2173,2666.435365538703,2262.5554631744903,2172.999999999966,2666.4728995014807,2173.0000000000014,2666.504142846904,2346.349766468905,2437.2256472611098,2666.366119156923,3.157690271084129,380233.3082682178
20,1.5,20160,2173,2666.270800837051,2261.729675198652,2172.999999999966,2666.309073116953,2173.0000000000014,2666.3409616534495,2344.8760992628586,2435.426133433357,2666.199315230408,3.1587348014114047,380233.3165469299
20,1.5,20304,2173,2666.102853365806,2260.9130116601214,2172.999999999966,2666.141872242479,2173.0000000000014,2666.17441531619,2343.4169820666593,2433.6362681274286,2666.0290892508046,3.1598014436643,380233.30799664755
20,1.5,20448,2173,2665.9314699687084,2260.106108455391,2172.999999999966,2665.9712439827726,2173.0000000000014,2666.0044500318522,2341.973200177082,2431.855105592915,2665.8553897775946,3.160890866870799,380233.31627750857
20,1.5,20592,2173,2665.7566195468767,2259.308982873602,2172.999999999966,2665.7971566092556,2173.0000000000014,2665.8310327646495,2340.5435785009936,2430.0821876743316,2665.6781844265483,3.1620030544294417,380233.30834436056
20,1.5,20736,2173,2665.5782519810286,2258.5205956298173,2172.999999999966,2665.6195611672824,2173.0000000000014,2665.6541136651867,2339.1265543746654,2428.3184553936976,2665.4974203437855,3.1631386488593316,380233.31725876837
20,1.5,20880,2173,2665.3963330994643,2257.740438154706,2172.999999999966,2665.4384249570335,2173.0000000000014,2665.473661509906,2337.721458741185,2426.5640423313257,2665.3130644290545,3.1642976252267054,380233.309975027
20,1.5,21024,2173,2665.2108107345,2256.969025657874,2172.999999999966,2665.2536955763685,2173.0000000000014,2665.2896254518946,2336.329328055494,2424.81855896671,2665.1250654406745,3.1654806174120553,380233.3172751424
