% Model,tin_tegs_model.mph
% Version,COMSOL 6.1.0.357
% Date,"May 31 2024, 13:51"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (K),Temperature (K)
5221,861.3834996794627,814.7486509036281
5222,861.3397657016815,814.7080903259922
5223,861.2960317238999,814.6675297483572
5224,861.2522977461192,814.626969170722
5225,861.2085637683377,814.5864085930855
5226,861.1648297905563,814.5458480154507
5227,861.1210958127754,814.5052874378152
5228,861.0773618349939,814.4647268601796
5229,861.033627857213,814.4241662825445
5230,860.9898938794316,814.3836057049085
5231,860.9461599016504,814.3430451272733
5232,860.9024259238694,814.3024845496374
5233,860.8586919460878,814.2619239720018
5234,860.8149579683067,814.2213633943661
5235,860.7712239905255,814.1808028167311
5236,860.7274900127439,814.1402422390952
5237,860.6837560349629,814.0996816614598
5238,860.6400220571818,814.0591210838239
5239,860.5962880794008,814.0185605061886
5240,860.5525541016189,813.9779999285532
5241,860.5088201238381,813.9374393509172
5242,860.4650861460565,813.8968787732819
5243,860.4213521682757,813.8563181956463
5244,860.3776181904939,813.8157576180108
5245,860.3338842127132,813.7751970403755
5246,860.2901502349318,813.7346364627397
5247,860.2464162571512,813.6940758851043
5248,860.2026822793688,813.6535153074689
5249,860.1589483015878,813.6129547298333
5250,860.115214323807,813.5723941521978
5251,860.0714803460253,813.5318335745626
5252,860.0277463682442,813.4912729969266
5253,859.9840123904631,813.4507124192909
5254,859.940278412682,813.4101518416558
5255,859.8965444349004,813.3695912640203
5256,859.8528104571194,813.3290306863845
5257,859.8090764793383,813.2884701087493
5258,859.7653425015569,813.2479095311132
5259,859.7216085237759,813.207348953478
5260,859.6778745459943,813.166788375842
5261,859.634140568213,813.1262277982065
5262,859.5904065904318,813.085667220571
5263,859.5466726126506,813.045106642936
5264,859.5029386348695,813.0045460653004
5265,859.4592046570884,812.9639854876649
5266,859.4154706793075,812.9234249100297
5267,859.371736701526,812.8828643323939
5268,859.3280027237445,812.842303754758
5269,859.2842687459636,812.8017431771223
5270,859.240534768182,812.7611825994873
5271,859.1968007904011,812.7206220218515
5272,859.1530668126196,812.6800614442155
5273,859.1093328348385,812.6395008665803
5274,859.0655988570571,812.5989402889446
5275,859.0218648792761,812.5583797113092
5276,858.978130901495,812.5178191336737
5277,858.9343969237132,812.4772585560382
5278,858.8906629459326,812.4366979784027
5279,858.846928968151,812.3961374007672
5280,858.8031949903699,812.3555768231311
