% Model,tin_tegs_model_2_HF.mph
% Version,COMSOL 6.1.0.357
% Date,"Jun 1 2024, 12:17"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (K),Temperature (K),Temperature (K)
261,1055.308576274292,1033.6173083395556,1066.504749098492
262,1055.2554534758717,1033.5496848572964,1066.4457265302178
263,1055.2023306774522,1033.4820613750387,1066.3867039619433
264,1055.1492078790327,1033.4144378927797,1066.3276813936704
265,1055.0960850806139,1033.3468144105213,1066.2686588253969
266,1055.0429622821948,1033.279190928262,1066.2096362571242
267,1054.989839483775,1033.211567446004,1066.15061368885
268,1054.9367166853563,1033.1439439637456,1066.091591120575
269,1054.8835938869368,1033.076320481487,1066.0325685523012
270,1054.830471088517,1033.0086969992283,1065.9735459840297
271,1054.7773482900986,1032.94107351697,1065.9145234157534
272,1054.7242254916785,1032.8734500347114,1065.8555008474812
273,1054.6711026932596,1032.8058265524521,1065.796478279207
274,1054.6179798948401,1032.7382030701935,1065.7374557109333
275,1054.5648570964206,1032.6705795879354,1065.6784331426604
276,1054.5117342980009,1032.6029561056764,1065.6194105743873
277,1054.4586114995823,1032.5353326234185,1065.5603880061126
278,1054.4054887011628,1032.4677091411588,1065.5013654378397
279,1054.352365902743,1032.4000856589012,1065.4423428695654
280,1054.2992431043242,1032.3324621766412,1065.383320301291
281,1054.2461203059042,1032.2648386943831,1065.324297733018
282,1054.1929975074856,1032.1972152121252,1065.2652751647443
283,1054.1398747090668,1032.129591729866,1065.2062525964714
284,1054.0867519106473,1032.0619682476085,1065.147230028197
285,1054.033629112228,1031.9943447653488,1065.088207459923
286,1053.9805063138083,1031.9267212830905,1065.0291848916504
287,1053.9273835153892,1031.8590978008322,1064.970162323377
288,1053.8742607169697,1031.7914743185731,1064.9111397551023
289,1053.820809194123,1031.7231512271167,1064.8523318113769
290,1053.766042773568,1031.6520296988656,1064.7943823658456
291,1053.711276353013,1031.580908170616,1064.7364329203126
292,1053.656509932458,1031.5097866423653,1064.6784834747805
293,1053.601743511903,1031.4386651141149,1064.620534029249
294,1053.5469770913478,1031.3675435858652,1064.562584583716
295,1053.492210670793,1031.2964220576146,1064.504635138184
296,1053.4374442502371,1031.2253005293637,1064.4466856926526
297,1053.3826778296825,1031.1541790011129,1064.3887362471205
298,1053.3279114091276,1031.0830574728627,1064.330786801589
299,1053.273144988572,1031.0119359446132,1064.272837356057
300,1053.2183785680174,1030.9408144163617,1064.2148879105255
301,1053.163612147462,1030.8696928881113,1064.1569384649927
302,1053.1088457269066,1030.7985713598607,1064.098989019461
303,1053.0540793063517,1030.727449831612,1064.041039573929
304,1052.9993128857968,1030.6563283033604,1063.983090128397
305,1052.9445464652413,1030.58520677511,1063.9251406828653
306,1052.8897800446864,1030.5140852468592,1063.8671912373338
307,1052.8350136241315,1030.44296371861,1063.8092417917999
308,1052.7802472035764,1030.3718421903593,1063.751292346269
309,1052.725480783021,1030.300720662109,1063.6933429007363
310,1052.6707143624662,1030.229599133858,1063.6353934552053
311,1052.6159479419107,1030.1584776056086,1063.577444009674
312,1052.561181521356,1030.0873560773575,1063.5194945641408
313,1052.5064151008007,1030.0162345491071,1063.4615451186091
314,1052.4516486802456,1029.945113020857,1063.403595673077
315,1052.396882259691,1029.8739914926061,1063.345646227546
316,1052.3421158391359,1029.802869964356,1063.287696782013
317,1052.2873494185799,1029.7317484361056,1063.2297473364806
318,1052.2325829980252,1029.6606269078547,1063.1717978909492
319,1052.17781657747,1029.5895053796055,1063.1138484454168
320,1052.1230501569148,1029.518383851355,1063.0558989998851
321,1052.06828373636,1029.4472623231047,1062.9979495543535
322,1052.0135173158046,1029.376140794855,1062.9400001088218
323,1051.9587508952498,1029.3050192666035,1062.8820506632892
324,1051.9033168097878,1029.2330858750947,1062.824350456159
325,1051.846881226967,1029.159934688698,1062.7670241066305
326,1051.7904456441452,1029.086783502302,1062.7096977571032
327,1051.7340100613242,1029.0136323159068,1062.6523714075759
328,1051.6775744785023,1028.9404811295096,1062.5950450580488
