% Model,LargeGraphiteBlockCharge_v3_mdotbnd_charge_discharge_reverse_2.mph
% Version,COMSOL 6.0.0.405
% Date,"Oct 3 2022, 17:12"
% Table,Accumulated Probe Table 24 - 
% hours (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate",Global Variable Probe 1
72,10,14580,2173.1669530539516,2672.9418952924448,2564.44413865819,2544.42566793415,2672.976686886415,0.06442053576193756,32.19576953939512
72,10,14760,2173.1610538511795,2672.936925898983,2563.103313030766,2543.0848373931385,2672.9744852271947,0.06442120870913379,32.196165760980904
72,10,14940,2173.154413521909,2672.9316007794887,2561.7624865965863,2541.7440126909255,2672.9721077865943,0.06442192358477748,32.19660776692285
72,10,15120,2173.1480917559766,2672.9259077354263,2560.4216598282187,2540.4032084368555,2672.9695468324917,0.06442265665182897,32.19701464104506
72,10,15300,2173.1419133945187,2672.919817912528,2559.080832963438,2539.0624119641457,2672.966786807967,0.0644234428805464,32.197413284675136
72,10,15480,2173.1361012933735,2672.9133074142337,2557.740006072893,2537.721605916551,2672.963814205669,0.06442427793606845,32.19778563324206
72,10,15660,2173.130644648387,2672.906350508092,2556.3991796161677,2536.380798981343,2672.960614391677,0.06442517518095595,32.198137401197464
72,10,15840,2173.125502205024,2672.8987034941842,2555.058353050781,2535.039985239363,2672.957059990205,0.06442616039351108,32.19846842663388
72,10,16020,2173.120471385114,2672.890510907383,2553.7175262977557,2533.6991771764583,2672.953222207673,0.06442721455264844,32.19879156328686
72,10,16200,2173.115007044661,2672.8818374811317,2552.376700412259,2532.3583915904755,2672.9491327738356,0.06442829238013315,32.199123473253294
72,10,16380,2173.1104158537337,2672.8725593405243,2551.0358749355746,2531.0175938660213,2672.944724902406,0.0644294882968312,32.19941917498146
72,10,16560,2173.1065291862433,2672.8627132675583,2549.6950498701804,2529.676788407204,2672.940016020396,0.0644307415518601,32.19966153548704
72,10,16740,2173.1028555136977,2672.8522759130433,2548.3542253791898,2528.335985404904,2672.9349916132082,0.06443205361702192,32.19988145024626
