hours,max_ff,time,inlet_T,outlet_T,block_1,Sn_block_1,bottom_right_T,mass_flow,SOC,power
5,2,36540.0,2673,2671.4480294165473,2672.171137643233,2672.6656507859784,2669.420050643313,0.4895396221031704,1.00780040608222,188.41827104878544
5,2,36720.0,2673,2671.504771289825,2672.202284144685,2672.678735825305,2669.5443833366544,0.4895396221031699,1.0078633782884165,181.52947703875464
5,2,36900.0,2673,2671.5595060907795,2672.2322911644114,2672.6913195429274,2669.664583155047,0.4895396221031696,1.0079240467620905,174.88435330251284
5,2,37080.0,2673,2671.6123020119817,2672.261199044526,2672.70342066084,2669.780779637761,0.4895396221031699,1.007982493048715,168.47462086465842
5,2,37260.0,2673,2671.66322485754,2672.2890467602992,2672.715057239793,2669.893098595961,0.4895396221031698,1.0080387959246404,162.29229072302044
5,2,37440.0,2673,2671.712338634768,2672.315871955539,2672.7262466553434,2670.001662209137,0.4895396221031699,1.0080930314835872,156.32959201686594
5,2,37620.0,2673,2671.7597048132266,2672.341710996361,2672.7370056848017,2670.106589111769,0.4895396221031707,1.0081452732262202,150.5790619833036
5,2,37800.0,2673,2671.805383146716,2672.3665990050713,2672.7473504930745,2670.207994484187,0.4895396221031701,1.0081955921480503,145.03344616285975
5,2,37980.0,2673,2671.8494312382177,2672.3905699060915,2672.7572966595762,2670.305990136786,0.4895396221031695,1.0082440568193405,139.6857512179644
5,2,38160.0,2673,2671.8919053244863,2672.4136564541473,2672.766859174283,2670.40068460332,0.4895396221031697,1.0082907334577866,134.52914967896822
5,2,38340.0,2673,2671.9328593647033,2672.4358902837666,2672.7760524855034,2670.4921832206587,0.4895396221031695,1.0083356860038197,129.5570905868537
5,2,38520.0,2673,2671.9723457470363,2672.4573019383324,2672.784890505616,2670.580588214528,0.4895396221031706,1.0083789762001385,124.7632137128391
5,2,38700.0,2673,2672.010414888884,2672.4779209130593,2672.793386665469,2670.6659987778685,0.4895396221031701,1.0084206636649027,120.14139809098808
5,2,38880.0,2673,2672.0471158498112,2672.497775682352,2672.801553877904,2670.748511153146,0.4895396221031695,1.0084608059605211,115.68568760429399
5,2,39060.0,2673,2672.082496003853,2672.516893735564,2672.8094045875077,2670.828218709214,0.4895396221031697,1.0084994586565443,111.39033076887567
5,2,39240.0,2673,2672.1166012418994,2672.535301607475,2672.8169507786583,2670.9052120210777,0.4895396221031695,1.008536675395147,107.24975616333165
5,2,39420.0,2673,2672.149475599071,2672.5530249170474,2672.82420401147,2670.979578942477,0.4895396221031697,1.008572507960128,103.25861766741946
5,2,39600.0,2673,2672.181161983851,2672.570088390009,2672.831175403612,2671.051404681966,0.4895396221031695,1.0086070063385457,99.41170594135976
5,2,39780.0,2673,2672.211701672677,2672.586515894217,2672.8378756730617,2671.1207718704118,0.4895396221031699,1.008640218777725,95.70400978503999
5,2,39960.0,2673,2672.241134923743,2672.602330459547,2672.844315119842,2671.187760632121,0.4895396221031704,1.0086721918400297,92.13064161919881
5,2,40140.0,2673,2672.269500374884,2672.617554313444,2672.850503670184,2671.25244864812,0.4895396221031704,1.0087029704573893,88.68691058559136
5,2,40320.0,2673,2672.296835378483,2672.6322089052865,2672.8564508936965,2671.3149112251344,0.4895396221031706,1.0087325979913495,85.36828188723354
5,2,40500.0,2673,2672.3231760386016,2672.646314933078,2672.8621660016747,2671.375221362275,0.4895396221031706,1.0087611162854349,82.17037228075415
5,2,40680.0,2673,2672.348557389318,2672.6598923660426,2672.8676578487816,2671.433449817316,0.4895396221031704,1.008788565713057,79.08892842486947
5,2,40860.0,2673,2672.373013007977,2672.6729604752504,2672.8729349875202,2671.489665166538,0.4895396221031704,1.008814985229732,76.1198738343491
5,2,41040.0,2673,2672.396575584303,2672.6855378507325,2672.8780056328783,2671.543933867893,0.4895396221031698,1.0088404124215258,73.25923978620075
5,2,41220.0,2673,2672.419276664452,2672.697642427073,2672.882877696636,2671.5963203201604,0.4895396221031712,1.0088648835470326,70.5031963932161
5,2,41400.0,2673,2672.441146749755,2672.709291504097,2672.8875587953626,2671.646886922841,0.4895396221031702,1.0088884335825974,67.84804061616768
5,2,41580.0,2673,2672.462215189997,2672.7205017709052,2672.8920562600474,2671.6956941300205,0.48953962210316904,1.0089110962677055,65.29020922008827
5,2,41760.0,2673,2672.4825105291047,2672.731289322449,2672.8963771392473,2671.7428005056004,0.4895396221031694,1.0089329041454342,62.82623680606109
5,2,41940.0,2673,2672.502060154477,2672.741669684602,2672.9005282284515,2671.7882627747917,0.4895396221031697,1.0089538886030065,60.452798384242534
5,2,42120.0,2673,2672.5208906589874,2672.751657829273,2672.9045160607066,2671.8321358791322,0.4895396221031697,1.0089740799121105,58.166665424866366
5,2,42300.0,2673,2672.539027587366,2672.761268196988,2672.9083469320362,2671.8744730278136,0.4895396221031691,1.008993507266979,55.96473664884261
5,2,42480.0,2673,2672.5564956478675,2672.770514713462,2672.912026903005,2671.915325750762,0.4895396221031694,1.009012198823337,53.844012330131676
5,2,42660.0,2673,2672.5733187237915,2672.779410807522,2672.915561804272,2671.9547439469047,0.4895396221031712,1.0090301817327356,51.80159289696936
5,2,42840.0,2673,2672.589519990528,2672.787969425853,2672.918957232929,2671.992775930731,0.4895396221031701,1.0090474821742301,49.83466472201413
5,2,43020.0,2673,2672.6051216953233,2672.7962030527688,2672.9222185876024,2672.029468476123,0.4895396221031698,1.0090641253881896,47.94052685994605
5,2,43200.0,2673,2672.6201454152474,2672.804123723301,2672.9253510560848,2672.0648668625204,0.4895396221031695,1.009080135709327,46.11655972873729
5,2,43380.0,2673,2672.634611857981,2672.811743041769,2672.9283596345012,2672.0990149185213,0.4895396221031708,1.0090955365985157,44.36024929532589
5,2,43560.0,2673,2672.648541060433,2672.819072194804,2672.931249134614,2672.1319550670823,0.4895396221031702,1.0091103506746175,42.66916296215532
5,2,43740.0,2673,2672.6619523791305,2672.826121966087,2672.934024180597,2672.163728367,0.4895396221031706,1.0091245997424052,41.040950734182964
5,2,43920.0,2673,2672.6748645880507,2672.8329027488253,2672.936689211866,2672.194374553609,0.4895396221031697,1.009138304818662,39.47333334110918
