% Model,LargeGraphiteBlockDischarge_v3_finemesh.mph
% Version,COMSOL 5.6.0.401
% Date,"Apr 30 2022, 12:31"
% Table,Accumulated Probe Table 2 - 
% hours (h),Time (s) (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_1","Temperature (K), outlet_T_2","Temperature (K), outlet_T_3","Temperature (K), outlet_T_4","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), block_2","Temperature (K), block_3","Temperature (K), block_4","Temperature (K), block_5","Temperature (K), Sn_block_1","Temperature (K), Sn_block_2","Temperature (K), Sn_block_3","Temperature (K), Sn_block_4","Temperature (K), Sn_block_5"
10,6900,2173.248696357398,2396.0249004927123,2624.7056195029295,2669.0559588610276,2672.803536733615,2672.9930877385405,2294.377742116469,2570.754676857245,2661.898737392975,2672.3321980954343,2672.9732718903583,2258.982362344813,2534.415175838406,2654.8823136597293,2671.742580055815,2672.9436043163346
10,7000,2173.2372712785013,2391.3819862330142,2622.5807315922493,2668.7777951147204,2672.7847620605426,2672.9922609429273,2291.2650109596116,2567.4524987181635,2661.2410258437753,2672.275369298649,2672.9703396666664,2256.6087221521316,2530.711336265834,2653.9314051839287,2671.644786728233,2672.937852702636
10,7100,2173.2263951332097,2386.7926956850065,2620.4061036269577,2668.484923582432,2672.7644976998436,2672.9913484987983,2288.217859240588,2564.1157693246732,2660.556452346552,2672.2146637231663,2672.9671332637795,2254.292118231182,2526.98952630779,2652.9479807031225,2671.541020199746,2672.9316056682733
10,7200,2173.2160402159293,2382.258862941793,2618.1822496639297,2668.1768663605785,2672.742653681937,2672.9903430754266,2285.235497440173,2560.745986614454,2659.8445242882544,2672.149887374311,2672.963631578939,2252.031518136174,2523.2514635412886,2651.931716182707,2671.4310261007186,2672.9248290015616
10,7300,2173.2061800190486,2377.7821295163617,2615.909253121827,2667.8530984071435,2672.719131088429,2672.9892363798267,2282.317105328827,2557.3446749016184,2659.104761296512,2672.0808404931713,2672.9598121994118,2249.825839570847,2519.498828141765,2650.8822717442267,2671.314537695859,2672.9174857898406
10,7400,2173.1967894236714,2373.363014281046,2613.5873041005448,2667.5130670920107,2672.6938315739067,2672.988019919653,2279.4618562296478,2553.913357885894,2658.3366982648613,2672.0073167317537,2672.9556514426768,2247.674120965059,2515.7331064449822,2649.7993443635064,2671.1912820045995,2672.9095383193057
10,7500,2173.187844831792,2369.0014128202893,2611.2166998804205,2667.1562908583123,2672.66665344361,2672.9866847538738,2276.668925062416,2550.453554849124,2657.5398801340502,2671.9291043449393,2672.9511242972476,2245.5753976145693,2511.9558487234067,2648.682589006302,2671.0609852080984,2672.9009467561673
10,7600,2173.1793240604243,2364.698456190816,2608.797818851898,2666.7823267853164,2672.6374877781004,2672.9852209277633,2273.9374676044263,2546.9668007420555,2656.7138611290356,2671.8459865728933,2672.946204327015,2243.528676004152,2508.1686343035276,2647.5316712887948,2670.9233728975228,2672.891668773718
10,7700,2173.171206112655,2360.455909454937,2606.3317013942137,2666.3906843729474,2672.6062162707244,2672.9836178597857,2271.2666186549845,2543.4546362823257,2655.8582171918288,2671.7577409051596,2672.9408635669997,2241.5329541847295,2504.3731073781832,2646.346386963351,2670.778156042396,2672.8816598249446
10,7800,2173.1634709983095,2356.2735498628117,2603.8195685858427,2665.9809138614028,2672.5727257202866,2672.98186429991,2268.655516217687,2539.9185836531246,2654.972546313706,2671.664139988344,2672.9350726163625,2239.587264710513,2500.570757188985,2645.126609506872,2670.625049563848,2672.8708739765057
