% Model,tin_tegs_model_4_constin.mph
% Version,COMSOL 6.1.0.357
% Date,"Jun 4 2024, 18:19"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (degC),Temperature (degC),"Temperature (degC), Point: 51"
4205,518.3096763807484,500,519.6176375116663
4206,518.3012110493016,500,519.608465005933
4207,518.2927457178544,500,519.5992925001997
4208,518.2842803864073,500,519.5901199944662
4209,518.2758150549602,500,519.580947488733
4210,518.2673497235132,500,519.5717749829996
4211,518.2588843920662,500,519.5626024772664
4212,518.250419060619,500,519.553429971533
4213,518.2419537291719,500,519.5442574657998
4214,518.2334883977252,500,519.5350849600663
4215,518.2250230662778,500,519.5259124543331
4216,518.2165577348306,500,519.5167399485997
4217,518.2080924033836,500,519.5075674428665
4218,518.1996270719369,500,519.4983949371331
4219,518.1911617404897,500,519.4892224313998
4220,518.1826964090425,500,519.4800499256664
4221,518.1742310775953,500,519.4708774199331
4222,518.1657657461485,500,519.4617049141998
4223,518.1573004147014,500,519.4525324084665
4224,518.1488350832542,500,519.4433599027332
4225,518.1403697518075,500,519.4341873969998
4226,518.13190442036,500,519.4250148912665
4227,518.1234390889132,500,519.4158423855332
4228,518.1149737574659,500,519.4066698797998
4229,518.106508426019,500,519.3974973740666
4230,518.098043094572,500,519.3883248683331
4231,518.089577763125,500,519.3791523625999
4232,518.0811124316775,500,519.3699798568665
4233,518.0726471002306,500,519.3608073511333
4234,518.0641817687836,500,519.3516348453999
4235,518.0557164373366,500,519.3424623396667
4236,518.0472511058895,500,519.3332898339332
4237,518.0387857744424,500,519.3241173282
4238,518.0303204429952,500,519.3149448224666
4239,518.0218551115481,500,519.3057723167333
4240,518.0133897801012,500,519.296599811
4241,518.004924448654,500,519.2874273052666
4242,517.9964591172072,500,519.2782547995333
4243,517.98799378576,500,519.2690822938
4244,517.979528454313,500,519.2599097880667
4245,517.9710631228658,500,519.2507372823334
4246,517.962597791419,500,519.2415647766001
4247,517.9541324599717,500,519.2323922708667
4248,517.9456671285245,500,519.2232197651333
4249,517.9372017970778,500,519.2140472594001
4250,517.9287364656305,500,519.2048747536667
4251,517.9202711341835,500,519.1957022479335
4252,517.9118058027364,500,519.1865297422
4253,517.9033404712892,500,519.1773572364668
4254,517.894875139842,500,519.1681847307334
4255,517.8864098083952,500,519.1590122250002
4256,517.877944476948,500,519.1498397192668
4257,517.8694791455011,500,519.1406672135336
4258,517.861013814054,500,519.1314947078002
4259,517.852548482607,500,519.1223222020668
4260,517.8440831511597,500,519.1131496963336
4261,517.8356178197126,500,519.1039771906002
4262,517.8271524882657,500,519.094804684867
4263,517.8186871568186,500,519.0856321791335
4264,517.8102218253712,500,519.0764596734003
