% Model,,,,,,,,,,,
% Version,,,,,,,,,,,
% Date,,,,,,,,,,,
% Table,,,,,,,,,,,
% charge_hrs (h),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block1_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1","Temperature (K), block2_T","Temperature (K), block3_T","Temperature (K), block4_T"
4,496.8,2673.0000000000014,2176.272005019356,2238.8536626338787,2672.9999999999955,2176.2524165705213,2673.0000000000023,2176.2317452182842,2212.806870762585,2195.6206904369938,2173.2505563761297
4,504,2673.0000000000014,2176.294743309955,2239.7162354282204,2672.9999999999955,2176.2762158995315,2673.0000000000023,2176.2577943840774,2213.4024118095163,2196.005034,2173.262405061358
4,511.2,2673.0000000000014,2176.328169338098,2240.5769174099037,2672.9999999999955,2176.3022362013776,2673.0000000000023,2176.277283141228,2213.997465,2196.389554253876,2173.274433847955
4,518.4,2673.0000000000014,2176.37765,2241.4357181550245,2672.9999999999955,2176.3383133314783,2673.0000000000023,2176.300582148406,2214.592032232148,2196.7742480216193,2173.286664865528
4,525.6,2673.0000000000014,2176.440814598088,2242.2926386772597,2672.9999999999955,2176.3868969061973,2673.0000000000023,2176.3344426714534,2215.1861070638793,2197.159112732364,2173.2990786962905
4,532.8000000000001,2673.0000000000014,2176.5050218471524,2243.1476871589143,2672.9999999999955,2176.4436613402086,2673.0000000000023,2176.3827870858945,2215.779693286289,2197.544148498501,2173.3116091924694
4,540,2673.0000000000014,2176.555613535524,2244.000865935106,2672.9999999999955,2176.5001694615567,2673.0000000000023,2176.443702292574,2216.372785874384,2197.9293558222985,2173.324188482498
4,547.2,2673.0000000000014,2176.583744141816,2244.8521816874963,2672.9999999999955,2176.547382,2673.0000000000023,2176.5092505075827,2216.9653868392597,2198.314733049582,2173.336798475226
4,554.4,2673.0000000000014,2176.6057470168585,2245.701638781013,2672.9999999999955,2176.583125,2673.0000000000023,2176.5589991361685,2217.557483883498,2198.700274652745,2173.3494671742415
4,561.6,2673.0000000000014,2176.6308755964674,2246.5492410389375,2672.9999999999955,2176.610782967631,2673.0000000000023,2176.5904803524604,2218.1490898898637,2199.0859791246417,2173.362247607305
4,568.8000000000001,2673.0000000000014,2176.663824579387,2247.3949964593567,2672.9999999999955,2176.637921713672,2673.0000000000023,2176.612812352732,2218.740207444869,2199.4718440587726,2173.375188437878
4,576,2673.0000000000014,2176.708637670389,2248.238907389765,2672.9999999999955,2176.672115605596,2673.0000000000023,2176.6367606460267,2219.3308335491424,2199.8578698929914,2173.3883174057996
4,583.2,2673.0000000000014,2176.766721,2249.0809823630184,2672.9999999999955,2176.7171372759226,2673.0000000000023,2176.6687313201664,2219.9209553984933,2200.244051418935,2173.4016339841346
4,590.4,2673.0000000000014,2176.829976,2249.9212181462476,2672.9999999999955,2176.7711657687214,2673.0000000000023,2176.713071847083,2220.510573633354,2200.630392817358,2173.415084936397
4,597.6,2673.0000000000014,2176.88559,2250.7596272659116,2672.9999999999955,2176.827597646013,2673.0000000000023,2176.769400254254,2221.099688584422,2201.016889541669,2173.428608957755
4,604.8000000000001,2673.0000000000014,2176.9214494933253,2251.5962071620243,2672.9999999999955,2176.8779325178884,2673.0000000000023,2176.833359050614,2221.6883046119424,2201.4035361680676,2173.4421736541444
4,612,2673.0000000000014,2176.946776146289,2252.430970685251,2672.9999999999955,2176.918209963605,2673.0000000000023,2176.888456959659,2222.2764236806293,2201.790323639802,2173.455790868376
4,619.2,2673.0000000000014,2176.971299619213,2253.2639139926105,2672.9999999999955,2176.9496752272216,2673.0000000000023,2176.9276160904287,2222.864049917126,2202.177260087592,2173.469505056599
4,626.4,2673.0000000000014,2177.005134084181,2254.0950527346286,2672.9999999999955,2176.978903310701,2673.0000000000023,2176.953060354334,2223.451168455117,2202.564342110748,2173.483360626191
4,633.6,2673.0000000000014,2177.0469859726177,2254.9243811758847,2672.9999999999955,2177.0122735376613,2673.0000000000023,2176.978314330321,2224.0377689073707,2202.9515718258854,2173.4973896812485
4,640.8000000000001,2673.0000000000014,2177.101228841996,2255.7519111605616,2672.9999999999955,2177.0548993584466,2673.0000000000023,2177.009274498586,2224.6238518285977,2203.3389510641973,2173.5115988823395
4,648,2673.0000000000014,2177.1623153770233,2256.5776377709103,2672.9999999999955,2177.1064262466275,2673.0000000000023,2177.051102881607,2225.2094366001224,2203.7264724731676,2173.525962935977
4,655.2,2673.0000000000014,2177.2211144361254,2257.4015749859177,2672.9999999999955,2177.162486942675,2673.0000000000023,2177.104133612561,2225.794531059985,2204.1141271710244,2173.5404338728767
4,662.4,2673.0000000000014,2177.266292325528,2258.223718391419,2672.9999999999955,2177.215938757703,2673.0000000000023,2177.1655460118095,2226.3791274692217,2204.5019147460184,2173.554970356408
4,669.6,2673.0000000000014,2177.296755312129,2259.0440836291314,2672.9999999999955,2177.2613435408703,2673.0000000000023,2177.225612434727,2226.963203211044,2204.889833622644,2173.5695648666347
4,676.8000000000001,2673.0000000000014,2177.324848702963,2259.862667303797,2672.9999999999955,2177.2986155160174,2673.0000000000023,2177.2720592578767,2227.5467469384134,2205.2778875334866,2173.5842375616658
4,684,2673.0000000000014,2177.3595436668757,2260.679482373174,2672.9999999999955,2177.3318231401645,2673.0000000000023,2177.3040012078964,2228.1297691308946,2205.666078152781,2173.5990275799586
4,691.2,2673.0000000000014,2177.3998639988067,2261.494519084084,2672.9999999999955,2177.366139735976,2673.0000000000023,2177.332532866739,2228.712296053758,2206.0544020452885,2173.6139688763965
4,698.4,2673.0000000000014,2177.449067000328,2262.307792094481,2672.9999999999955,2177.4065365652227,2673.0000000000023,2177.364054019621,2229.2943264791897,2206.44285,2173.629079530745
4,705.6,2673.0000000000014,2177.5056105060157,2263.119296620303,2672.9999999999955,2177.4544493904077,2673.0000000000023,2177.4033916502885,2229.875852,2206.8314151419227,2173.6443539823067
4,712.8000000000001,2673.0000000000014,2177.564411071014,2263.9290491348293,2672.9999999999955,2177.5080265335873,2673.0000000000023,2177.4519931085047,2230.456843565407,2207.220102,2173.6597623852026
4,720,2673.0000000000014,2177.617089390358,2264.737043550447,2672.9999999999955,2177.562546370335,2673.0000000000023,2177.5086283569212,2231.0372973678714,2207.6089212202032,2173.6752660266684
4,727.2,2673.0000000000014,2177.6576896684574,2265.5432965304944,2672.9999999999955,2177.612767448032,2673.0000000000023,2177.5685293899446,2231.6172282210505,2207.9978644905277,2173.690846286905
4,734.4,2673.0000000000014,2177.690102648103,2266.347801751314,2672.9999999999955,2177.6562851749254,2673.0000000000023,2177.6228817233255,2232.1966634491178,2208.386927854595,2173.7065019762017
4,741.6,2673.0000000000014,2177.7242314800465,2267.150569499783,2672.9999999999955,2177.694623928372,2673.0000000000023,2177.6649082839976,2232.7756032855527,2208.776090497647,2173.722257
4,748.8000000000001,2673.0000000000014,2177.7639971789176,2267.9515932172035,2672.9999999999955,2177.7314474950535,2673.0000000000023,2177.698588796319,2233.354034873613,2209.165352348005,2173.7381416416433
4,756,2673.0000000000014,2177.8107190041546,2268.7508873685856,2672.9999999999955,2177.7711408909254,2673.0000000000023,2177.7312873557144,2233.931919868002,2209.554735,2173.7541795402217
4,763.2,2673.0000000000014,2177.8638033171915,2269.5484494274033,2672.9999999999955,2177.8164957646063,2673.0000000000023,2177.7688952490716,2234.5092589203728,2209.9442425122384,2173.770378193521
4,770.4,2673.0000000000014,2177.9207957686463,2270.3442917475554,2672.9999999999955,2177.867476158513,2673.0000000000023,2177.8140254897853,2235.0860751303526,2210.3338718405917,2173.786724758531
4,777.6,2673.0000000000014,2177.9761991025416,2271.1384151682028,2672.9999999999955,2177.921366884914,2673.0000000000023,2177.8668268349343,2235.6623965852455,2210.7236088474247,2173.803191007138
4,784.8000000000001,2673.0000000000014,2178.0242700706126,2271.9308271202485,2672.9999999999955,2177.974072,2673.0000000000023,2177.9247075110443,2236.2382078928354,2211.113425964066,2173.819753
4,792,2673.0000000000014,2178.064194813442,2272.721523072891,2672.9999999999955,2178.0224697603817,2673.0000000000023,2177.9818241563007,2236.8135098621656,2211.5033219209768,2173.836401256309
4,799.2,2673.0000000000014,2178.1006593149455,2273.5105115782935,2672.9999999999955,2178.065915776868,2673.0000000000023,2178.031750468036,2237.3882663232957,2211.8933315215886,2173.8531421937846
4,806.4,2673.0000000000014,2178.140063735843,2274.2977941893055,2672.9999999999955,2178.106459644289,2673.0000000000023,2178.072620276501,2237.962469143982,2212.283464038641,2173.8699984322902
